FELINDRE LOWER LLIW RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN649034,Long,-3.956888,Lat,51.713015,Elevation,416,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,6.56,6.41,,6.61,3.37,4.41,9.48,8.4,,,4.87,,,,,,,5.2,7.1,4.57,6.82,5.62,3.35,2.44,7.22,4.98,3.51,2.8,6.21,5.95,2.21,2.95,3.87,7.35,7.92,3.47,2.55,6.45,7.08,2.02,8.37,3.09,4.2,2.33,5.16,1.88,6.19,7.88,3.36,5.34,4.23,2.35,5.5,7.84,7.79,6.79,4.42,3.46,6.41,3.78,8.43,6.2,11.78,3.67,8.69,5.18,7.29,3.9,6.27,1.07,7.24,8.11,6.75,7.44,4.6,4.04,5.89,8.13,5.22,3.76,7.11,5.12,12.68,2.94,2.28,8.58,7.95,2.23,4.55,4.53,7.85,5.66,5.48,5.87,7.6
February,,,,,,,5.12,3.46,,6.32,5.79,3.54,6.87,1.61,,,6.49,,,,,2.15,,7.04,5.38,5.35,1.4,1.43,1.11,3.43,1.93,0.22,2.29,6.93,4.87,0.13,1.44,6.44,2.93,4.6,7.09,2.33,1.86,3.46,6.25,1.98,4.37,2.79,3.16,0.58,5.71,4.41,4.38,2.1,6.19,8.64,5.88,2.41,3.88,3.62,2.05,0.16,6.4,9.74,0.73,7.69,6.18,5.18,5.69,1.81,0.71,4.83,0.02,5.15,0.62,5.38,2.2,7.53,2.87,3.52,5.33,6.14,0.43,3.11,1.58,6.29,4.87,0.92,3.57,2.93,8.96,5.89,1.42,4.49,6.25,2.83,0.7,5.87,7.13,0.8,5.95
March,,,,,,,4.25,4.27,,2.34,3.47,2.3,6.42,4.35,,,4.4,,,,,5.32,,1.54,5.78,2.91,6.87,2.81,4.81,3.5,3.14,1.57,1.35,0.98,3.45,5.17,5.47,6.76,1.79,2.11,1.1,3.05,4.02,8.67,2.73,6.91,3.91,2.19,5.17,6.02,1.72,2.98,7.38,7.24,8.66,1.56,2.22,2.36,2.43,6.35,6.18,4.86,3.74,2.72,2.62,1.25,0.94,5.33,5.21,2.02,3.41,1.12,2.75,3.32,3.73,1.02,3.78,3.14,1.33,1.92,4.27,2.91,4.64,2,0.55,2.42,1.78,10.58,3.42,3.47,3.57,6.45,5.18,4.66,4.85,3.69,2.3,7.24,1.66,5.89,2.67
April,,,,,,,1.97,5.09,,3.22,0.51,5.85,3.19,0.45,,,3.91,,,,,,7.12,1.42,2.23,5,3.67,1.39,2.22,2.73,2.45,5.15,2.04,0.16,2.5,2.92,1.38,5.04,3.16,6.05,2.36,5.01,3.35,3.28,4.1,5.47,1.7,4.59,3.41,3.71,3.14,3.44,0.39,6.98,1.76,2.33,2.47,1.93,2.38,2.11,7.74,1.22,3.7,3.61,3.99,4.11,2.59,2.12,1.78,1.14,3.24,3.8,3.43,2.7,4.29,6.01,4.48,3.3,0.11,4.09,3.04,1.4,2.17,1.57,4.27,2.69,1.52,4.68,2.65,4.23,4.42,4.4,4.54,4.18,1.73,5.6,1.37,0.66,1.47,5.29,5.41
May,,,,,,,1.39,4.1,,4.88,3.36,0.87,2.04,4.33,,,0.42,,,,,,2.07,2.07,3.05,4.44,5.27,2.41,2.99,2.54,3.54,3.92,1.86,2.97,4.45,0.34,0.09,1.77,3.94,3.6,3.57,1.66,3.17,4.25,4.14,0.76,8.53,4.17,3.86,1.91,2.22,1.35,2.05,3.93,3.15,2.77,3.5,3.05,2.16,1.82,4.36,2.15,2.59,3.44,4.28,6,2.88,2.3,0.6,4.27,2.52,4.42,5.93,1.87,2.82,2.38,0.87,2.75,5.47,1.02,1.49,2.41,7.22,4.31,1.88,3.54,3.68,3.81,4.32,3.89,1.98,3.48,4.44,3.76,4.41,5.17,2.36,2.8,4.87,1.38,2.51
June,,,,,,,4.27,1.4,,0.92,0.9,2.02,6.51,2.55,,,3,,,,,,4.36,4.58,3.67,6.78,1.2,0.84,5,0.34,4.64,2.77,2.26,2.31,3.47,1.03,2.22,4.98,3.68,2.07,4.78,4.5,4.38,1.52,2.21,3.75,4.23,6.99,1.43,2.8,4.12,4.21,8.5,3.1,1.97,3.04,3.74,3.01,2.35,2.61,3.56,0.88,1.71,1,3.54,0,2.79,4.67,5.82,2.99,2.04,4.36,3.8,2.27,2.33,6.32,4.4,3.02,3.58,3.98,0.68,1.08,0.58,5.14,2.85,5.9,7.05,3.36,5.43,0.9,3.45,1.55,4.65,3.14,8.52,8.47,4.1,2.15,5.79,4.9,2.82
July,,,,,,,2.65,3.9,,1.84,1.49,7.6,5.63,4.96,,,3.72,,,,,,7.34,4.53,5.27,2.62,6.52,3.11,7.71,4.17,4.86,2.9,2.65,5.07,6.09,5.6,4.06,2.77,1.43,2.47,3.21,2,3.09,3.63,3.76,2.75,2.6,3.37,5.6,3.85,5.37,0.38,4.36,1.03,6.26,6,2.16,4.32,6.32,1.08,8.21,2.54,7.76,3.74,6.91,2.76,3.28,6.12,3.56,3.86,5.29,6.53,5.99,4.13,1.23,1.48,8.53,3.71,5.99,9.15,4.13,4.21,4.61,3.94,2.59,4.5,3.58,6.07,3.91,1.98,7.27,1.4,2.33,8.34,7.69,4.09,5.05,4.99,6.62,4.01,8.23
August,,,,,,,5.61,3.06,,2.19,3.74,2.54,4.11,7.94,,,6.24,,,,,,5.38,2.22,3.66,2.56,2.68,2.41,5.14,4.42,3.99,10.49,4.94,4.63,6.14,6.3,2.56,8.29,4.72,1.58,4.93,6.74,3.01,8.28,5.37,8.08,5.45,6.89,6.94,2.4,7.91,3.72,13.32,1.45,5.64,2.75,3.95,10.39,2.88,3.21,3.09,5.79,5.09,6.06,7.01,6.68,5.84,6.73,6.56,3.73,7.99,4.5,1.31,1.57,4.13,2.18,2.31,1.12,4.24,4.41,0.44,6.66,5.04,6.31,3.71,4.81,9.14,0.64,8.87,4.98,11.93,9.45,7.14,6.35,7.53,1.39,7.37,5.49,6.3,1.92,6.83
September,,,,,,,11.54,5.14,,8.28,2.71,5.02,7.06,4.86,,,7.74,,,,,,4.91,8.55,4.09,9.28,6.1,4.14,2.77,2.76,3.06,5.5,4.95,3.38,2.05,1.72,9.35,7.19,3.14,3.41,2.39,4.08,3.12,6.75,4.98,2.19,2.17,1.63,3.9,5.01,0.34,3.41,0.99,4.67,3.41,2.34,3.95,3.34,9.69,3.24,5.31,2.83,6.35,5.8,6.18,4.34,1.36,7.3,2.29,0.99,5.61,3.49,6.32,2.07,5.45,6.79,4.34,3.99,2.49,0.9,2.88,0.5,4.42,7,5.67,3.92,10.5,3.14,6.91,2.59,11.35,6.44,3.12,7.61,7.79,3.93,7.88,9.97,11.69,0.83,7.28
October,,,,,,,3.36,7.85,,4.9,9.14,8.86,9.05,4.82,,,8.02,,,,,,8.43,5.89,3.77,6.2,9.47,4.03,2.65,5.19,5.09,13.84,4.74,7.35,8.58,4.38,5.61,2.59,7.88,4.33,7.92,5.19,5.19,13.72,4.83,2.76,10.05,9.42,3.22,8.7,4.85,4.15,6.11,6.73,2.93,4.61,12.13,7.81,4.79,2.58,6.25,2.25,1.72,7.75,6.72,6.74,3.83,3.85,10.58,7.35,8.8,1.83,9.49,8.91,4.73,6.29,2.21,3.83,7.75,3.14,5.9,4.96,5.18,5.96,7.68,5.19,3.41,1.5,6.38,11.02,4.91,1.32,5.71,5.06,12.46,3.85,2.31,6.37,6.54,9.1,8.19
November,,,,,,,5.83,2.01,,5.15,4.41,1.89,10.72,3.46,,,6.11,,,,,,7.77,6.88,3.2,7.06,6.89,4.98,9.61,3.06,8.21,5.55,4.77,3.73,7.47,7.29,1.51,4.52,4.47,3.68,5.58,1.66,6.2,3.78,4.58,5.4,5.25,4.33,3.41,2.12,6.36,7.07,4.86,8.79,5.45,3.85,5.04,4.22,4.36,3.39,2.71,4.93,2.73,4.83,4.56,3.92,9.91,6.04,7.63,13.61,4.95,10.45,4.04,1.57,1.95,8.58,6.7,3.57,7.36,11.71,10.44,2.78,0.83,3.15,9.33,0.77,11.14,8.07,4.47,8.41,8.43,11.88,5.55,6.49,12.91,5.07,1.67,2.88,5.31,11.62,12.45
December,,,,,,,5.05,3.68,,5.47,1.57,4.45,10.32,3.21,,,12.42,,,,,,6.12,3.16,8.57,2.59,6.11,3.79,6.46,5.17,1.44,9.19,3.45,6.76,5.49,4.61,10.69,8.31,7.53,3.99,7.56,8.33,4.78,4.22,4.92,1.95,4.21,6.55,6.69,9.91,8.84,11.66,9.27,3.13,9.16,10.4,4.42,1.29,9.65,9.02,6.21,3.35,6.29,6.59,8.68,3.86,0.55,4.63,5.95,10.24,7.91,3.32,4.72,2.01,15.17,4.13,4.34,3.79,6.15,3.48,5.24,4.16,8.13,3.65,5.57,8.09,6.59,7.39,10.86,6.42,4.35,5.66,5.62,2.17,6.07,9.1,6.01,4.74,6.81,12.51,7.03
Total,,,56.94,55.16,41.61,44.54,57.6,50.37,53.35,52.12,40.46,49.35,81.4,50.94,47.67,59.85,67.34,62.5,56.14,57.73,63.03,,,53.08,55.77,59.36,63,36.96,53.82,39.75,49.57,66.08,38.81,47.07,60.77,45.44,46.59,61.61,48.54,45.24,58.41,48.02,44.72,68.01,54.95,44.02,60.84,56.01,50.99,49.34,55.74,48.66,67.8,57.03,57.94,53.63,53.69,46.48,56.39,46.87,63.46,37.75,52.5,58.74,61.63,51.13,48.58,60.47,67.45,55.68,61.16,53.83,55.09,39.47,52.72,51.63,51.4,47.86,54.09,54.76,48.44,41.25,49.14,54.27,50.9,51.88,70.37,55.28,73.47,53.76,72.9,66.5,57.65,58.48,84.76,57.72,48.97,58.82,69.67,64.12,76.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IDR 1881 total removed, incomplete year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
