EBCHESTER (BLACKHALL MILL SCHOOL),,,,,,,,,,,,
Grid ref,NZ116569,Long,-1.820615,Lat,54.906685,,,,,,,
Station no,3554/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.95,3.55,0.68,2.64,,,,,,,,
February,2.08,0.51,1.33,1.59,,,,,,,,
March,4.84,1.45,0.05,1.36,,,,,,,,
April,1.65,1.16,1.98,0.90,,,,,,,,
May,2.83,1.36,2.13,3.72,,,,,,,,
June,1.65,1.75,2.51,1.68,,,,,,,,
July,2.12,0.80,1.83,2.28,,,,,,,,
August,5.09,2.00,4.28,6.24,,,,,,,,
September,1.37,3.45,1.74,2.74,,,,,,,,
October,0.77,4.13,1.59,4.07,,,,,,,,
November,6.64,3.48,1.01,3.01,,,,,,,,
December,2.64,3.10,0.93,1.72,,,,,,,,
Total,33.63,26.74,20.06,31.95,,,,,,,,
Calc annual,33.63,26.74,20.06,31.95,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
