"LOCH SNEY",,,,,,,,,,,,
Grid ref,NN424938,Long,-4.596824,Lat,57.008359,,,,,,,
Station no,5695,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.24,8.40,5.78,6.64,3.29,9.08,12.90,7.05,3.35,5.45,,
February,3.17,4.49,6.54,5.86,6.08,3.83,7.90,4.30,4.75,5.60,,
March,3.12,5.20,2.36,3.21,1.60,5.48,5.60,2.85,4.27,1.25,,
April,7.10,3.40,5.61,2.04,2.27,2.75,2.40,4.15,6.00,8.00,,
May,1.67,3.70,6.09,4.67,4.15,5.85,2.00,5.80,1.80,1.90,,
June,3.17,3.70,3.18,3.10,1.40,3.75,2.30,2.00,5.80,3.55,,
July,4.11,3.80,5.66,2.21,0.35,6.51,5.52,3.45,5.55,2.45,,
August,5.90,4.90,3.80,3.64,2.00,4.65,5.60,4.65,3.65,6.80,,
September,4.50,5.45,6.66,9.20,7.10,6.90,5.30,5.20,1.07,4.05,,
October,2.67,8.00,4.04,11.54,8.10,7.33,9.90,9.55,9.20,2.20,,
November,9.30,3.84,11.57,9.68,1.65,5.45,2.80,1.80,7.55,5.10,,
December,13.04,6.42,9.78,16.41,9.75,11.40,13.40,7.25,10.05,8.60,,
Total,63.99,61.30,71.07,78.20,47.74,72.98,75.62,58.05,63.04,54.95,,
Calc annual,63.99,61.30,71.07,78.20,47.74,72.98,75.62,58.05,63.04,54.95,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
