ALTON-MEDSTEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU654371,Long,-1.066,Lat,51.13,Elevation,697,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,1.49,,,,,,,,,,1.98,4.92,1.41,6.47,1.57,3.79,0.91,,,,,,,,,
February,,,,,1.76,,,,,,,,,,2.82,-999,3.38,1.72,2.07,4.03,3.74,,,,,,,,,
March,,,,,3.13,,,,,,,,,,0.91,-999,3.89,3.05,1.29,0.74,0.81,,,,,,,,,
April,,,,,2.45,,,,,,,,,,2.63,1.45,2.87,2.99,2.41,2.58,2.25,,,,,,,,,
May,,,,,1.35,,,,,,,,,,0.31,1.71,0.51,2.52,4.34,3.45,0.25,,,,,,,,,
June,,,,,1.74,,,,,,,,,,2.22,4.68,2.61,0.9,1.62,4.8,2.54,,,,,,,,,
July,,,,,0.46,,,,,,,,,,1.13,4.47,1.17,5.87,2.44,4.92,5.11,,,,,,,,,
August,,,,,0.99,,,,,,,,,,2.88,1.64,2.93,3.6,4.04,5.05,1.26,,,,,,,,,
September,,,,,3.52,,,,,,,,,,3.03,1.45,4.55,1.63,1.38,2.92,5.96,,,,,,,,,
October,,,,,2.46,,,,,,,,,,6.61,6.17,2.48,2.28,2.84,1.64,4.8,,,,,,,,,
November,,,,2.05,3.73,,,,,,,,,,2.65,3.8,4.04,6.88,3.35,0.84,2.65,,,,,,,,,
December,,,,3.02,0.95,,,,,,,,,,2.81,1.15,6.8,2.05,1.89,0.94,3.57,,,,,,,,,
Total,,,,,24.03,,,,,,,,,,29.98,34.97,36.64,39.96,29.24,35.7,33.85,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875 Feb-Mar -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
