"HEATON MOOR (STOCKPORT)",,,,,,,,,,,,
Grid ref,SJ878918,Long,-2.185049,Lat,53.422853,,,,,,,
Station no,RR1199,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.07,1.87,2.50,2.54,2.74,1.98,3.83,1.16,2.29,1.73,,
February,2.90,1.32,1.00,2.47,2.65,1.65,2.96,2.05,2.91,1.38,,
March,0.74,1.93,1.68,3.68,1.99,3.47,2.56,2.15,2.53,2.80,,
April,2.06,2.04,2.05,1.68,2.03,2.30,1.92,1.34,1.99,2.85,,
May,1.70,1.05,3.26,3.00,2.18,0.77,2.79,4.62,2.12,1.97,,
June,2.78,1.91,1.25,1.10,0.75,3.07,0.92,4.91,2.06,2.11,,
July,2.62,4.34,1.98,3.20,1.35,2.80,2.00,3.26,4.71,4.63,,
August,5.07,1.65,3.41,3.86,4.33,4.84,3.08,3.83,3.35,3.02,,
September,1.20,0.71,1.06,4.77,1.39,2.09,1.48,0.81,3.36,2.31,,
October,3.68,2.78,3.86,6.36,1.22,2.67,5.71,3.19,1.47,5.27,,
November,2.07,3.63,1.53,3.13,2.33,3.00,2.31,2.36,2.75,1.19,,
December,3.98,4.47,2.33,1.06,2.59,0.53,3.58,2.79,2.62,6.28,,
Total,32.87,27.70,25.91,36.85,25.55,29.17,33.14,32.47,32.16,35.54,,
Calc annual,32.87,27.70,25.91,36.85,25.55,29.17,33.14,32.47,32.16,35.54,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
