SWAINESHILL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU720443,Long,-0.97078,Lat,51.19358,Elevation,550,ft,,,,,,,,,,,,,
Station no,747,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.79,2.78,3.7,5.71,2.27,5.32,1.64,4.61,2.26,3.79,2.93,3.07,0.71,,,,,
February,,,,5.07,0.56,5.44,2.55,5.53,2.55,0.39,1.16,2.25,0.21,5.66,0,4.18,,,,,
March,,,,2.29,3.29,0.42,0.82,4.01,2.93,0.07,1.55,0.2,2.37,4.34,2.48,0.68,,,,,
April,,,,3.22,1.7,3.04,3.26,2.13,1.71,0.78,2.17,2.32,3.53,0.71,2.67,3.54,,,,,
May,,,,2.43,3.88,3.76,2.64,1.21,1.81,2.02,1.68,2.89,5.04,2.86,0.77,1.05,,,,,
June,,,,0.33,2.87,0,2.94,3.49,2.58,1.49,0.42,2.56,1.94,1.68,1.36,2.86,,,,,
July,,,,1.17,5.46,3.39,1.41,2.99,1.79,1.92,1.96,4.22,2.78,1.96,2.78,0.53,,,,,
August,,,,2.47,2.76,4.71,1.35,3.04,2.85,1.28,3.82,3.52,1.01,0.84,2.86,3.27,,,,,
September,,,,1.43,4.47,2.84,0.95,5.66,1.38,0.39,3.3,2.35,3.22,4.51,2.22,4.71,,,,,
October,,,,4.41,4.49,3.04,1.84,2.17,6.06,4.39,1.43,0.55,4.94,2.09,1.58,5.7,,,,,
November,,,,1.75,3.42,1.91,6.86,4.79,2.82,9.1,4.56,5.18,1.54,0.77,2.79,6.31,,,,,
December,,,,3.12,6.11,4.88,0.27,4.5,3.08,8.47,3.36,0.85,0.79,0.59,8.72,3.69,,,,,
Total,,,,29.48,41.79,37.13,30.6,41.79,34.88,31.94,30.02,29.15,31.16,28.94,31.3,37.23,,,,,
,,,,,,,,,,,,,,,,,,,,,
Exact location of gauge unknown NGR given is near new location but at lower elevation on sheet,,,,,,,,,,,,,,,,,,,,,
1923 Not printed Too low,,,,,,,,,,,,,,,,,,,,,
1924 Not printed Too low,,,,,,,,,,,,,,,,,,,,,
1925 Not printed Too low,,,,,,,,,,,,,,,,,,,,,
1926 June 15th Letter states 'Registrations not taken by us as gauge is many miles away from our works' and we have to rely upon the good offices of a local farmer for the information,,,,,,,,,,,,,,,,,,,,,
1928 June 28th New site selected See green file,,,,,,,,,,,,,,,,,,,,,
1936 July New MO gauge supplied ,,,,,,,,,,,,,,,,,,,,,
1936 New location assumed to be from installation of the new gauge,,,,,,,,,,,,,,,,,,,,,
