SWAINESHILL-(NEW-GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU721441,Long,-0.969634,Lat,51.191584,Elevation,616,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,7.52,4.12,6.15,2.2,3.39,3.72,7.08,2.47,1.9,,2.63,6.75,0.88,0.88,4.31,2.82,1.02,1.65,2.85,4.7,3.32,3.97,3.91,3.98
February,,,,,,,6.17,0.58,1.6,3.07,3.34,0.51,1.72,0.87,2.65,,1.75,1.62,1.72,4.09,6.29,0.8,1.57,3.06,1.47,0.25,4.21,2.59,0.27,3.47
March,,,,,,,3.93,0.27,1.26,3.21,3.99,1.9,0.64,0.24,0.62,,6.01,1.38,1.81,1.88,4.93,2.31,0.73,2.95,1.21,1.07,1.95,1.5,3.42,1.84
April,,,,,,,2.27,0.06,2.66,2.63,1.53,2.14,1.16,1.38,1.2,,2.53,2.31,2.5,2.14,2.9,1.92,2.58,0.33,0.43,1.15,0.21,0.98,2.98,0.74
May,,,,,,,4.26,1.65,1.23,0.71,2.82,4.01,3.38,0.66,1.87,,1.15,2.96,2.87,1.52,2.91,2.81,2.33,2.93,4.8,0.33,1.24,2.5,0.98,1.56
June,,,,,,,1.31,0.72,1.93,0.85,1.88,0.33,1.38,2.76,1.79,,1.75,2.3,1.05,1.16,1.03,1.85,1.8,2.89,3.15,2.29,1.08,4.34,1.76,1.63
July,,,,,,,0.83,2.81,3.52,3.01,5.31,1.99,1.52,2.1,3.52,,1.98,1.68,,5.64,2.54,0.74,3.8,3.12,0.91,4.19,3.99,2.42,2.65,3.87
August,,,,,,,3.42,1.45,1.72,0.06,5.82,2.48,1.74,1.21,1.14,,0.46,5.4,,4.78,4.91,3.82,1.81,3.84,1.1,4.45,2.91,3.92,2.44,4.32
September,,,,,,3.27,2.26,1.34,0.68,1.99,0.1,1.52,1.67,2.53,2.51,,1.33,2.05,1.52,3.92,3.37,3.25,2.53,2.64,1.91,3.93,3.37,4.61,0.1,4.26
October,,,,,,2.47,3.96,3.98,6.57,4.11,0.99,3.71,4.64,4.94,3.19,,0.44,2.38,7.49,0.51,0.93,4.57,4.25,3.11,5.02,2.91,2.52,3.48,3.3,9.43
November,,,,,,4.01,2.47,4.61,7.35,8.34,3.28,2.41,2.08,5.81,1.63,,0.95,1.55,4.07,7.11,9.73,4.01,1.43,6.26,3.51,0.79,3.22,2.59,3.65,5.33
December,,,,,,3.93,4.06,4.25,1.8,1.42,2.48,4.48,1.82,2.86,3.68,,2.87,5.44,2.02,1.81,3.3,2.79,0.79,3.23,3.78,4.84,2.94,3.38,6.73,4.49
Total,,,,,,,42.46,25.84,36.47,31.6,34.93,29.2,28.83,27.83,25.7,,23.85,35.82,,35.44,47.15,31.69,24.64,36.01,30.14,30.9,30.96,36.28,32.19,44.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Jan-Aug all estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 July New MO gauge supplied ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 New location assumed to be from installation of the new gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Readings now taken weekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Gauge tested and found sound ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Not printed Too much estimation - deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Gauge appears to have moved ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 No readings in July Aug as gauge broken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 New MO standard gauge (5in) installed during Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Note says gauge back where it was in 1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Height and elevation suggest gauge was back where it was in 1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as SWAINESHILL RESR SRC_ID 6073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
