"TAUNTON (VIVARY PARK)",,,,,,,,,,,,
Grid ref,ST228238,Long,-3.101746,Lat,51.008382,,,,,,,
Station no,2069,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.99,3.02,0.45,1.81,4.59,2.98,1.78,2.42,3.66,2.74,,
February,4.23,0.68,1.15,2.18,2.73,0.19,3.99,3.05,0.16,3.04,,
March,3.10,2.31,0.60,4.05,1.14,0.85,1.82,0.80,3.10,2.38,,
April,2.76,2.53,2.68,0.14,0.90,1.81,0.03,0.55,2.54,2.52,,
May,2.80,3.23,1.59,1.47,3.47,0.28,1.57,2.21,0.73,1.43,,
June,0.58,2.11,1.47,2.59,2.72,0.99,3.81,2.96,1.18,1.02,,
July,1.63,0.83,1.83,2.01,1.48,2.18,2.44,1.90,1.57,3.53,,
August,3.64,4.20,1.95,2.31,0.72,2.04,2.09,2.22,1.44,3.17,,
September,2.05,3.37,2.63,2.54,1.48,4.93,2.67,4.01,0.16,3.63,,
October,1.01,3.89,3.09,1.75,1.32,1.47,1.93,1.66,2.74,10.66,,
November,7.05,4.39,1.78,6.20,3.61,0.62,2.11,2.27,5.54,3.02,,
December,2.65,2.37,0.79,2.43,5.17,4.24,2.57,3.88,6.43,3.58,,
Total,34.49,32.93,20.01,29.48,29.33,22.58,26.81,27.93,29.25,40.72,,
Calc annual,34.49,32.93,20.01,29.48,29.33,22.58,26.81,27.93,29.25,40.72,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
