DRIBY PUMPING STATION,,,,,,,,,,
Grid ref,TF388745,Long,0.079,Lat,53.249,Elevation,134,ft,,
Station no,2566/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.76,5.25
February,,,,,,,,,0.17,3.49
March,,,,,,,,2.37,1.83,1.41
April,,,,,,,,1.00,1.93,1.15
May,,,,,,,,3.05,0.45,0.71
June,,,,,,,,3.77,1.11,0.57
July,,,,,,,,5.02,2.43,3.22
August,,,,,,,,1.48,1.92,2.92
September,,,,,,,,2.16,0.35,2.31
October,,,,,,,,2.14,1.75,5.32
November,,,,,,,,0.86,2.41,3.92
December,,,,,,,,3.43,4.70,4.30
Total,,,,,,,,,22.81,34.57
,,,,,,,,,,
TYRain_1951-1960_15_pt1/248,,,,,,,,,,
,,,,,,,,,,
# The station continued until 1998 according to MIDAS. (MIDAS src_id = 396),,,,,,,,,,
