"PONDERS END PUMPING STATION",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,890,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.47,2.05,4.26,1.36,1.65,1.46,1.61,4.25,0.92,1.02,,
February,2.07,0.93,1.12,0.93,1.42,2.60,1.43,1.35,1.08,3.25,,
March,2.93,2.15,0.33,0.07,0.65,1.13,5.15,0.52,0.81,0.60,,
April,1.44,1.06,1.07,1.26,0.91,1.28,1.54,1.68,1.35,1.55,,
May,1.82,2.47,1.47,0.51,2.79,2.52,0.76,1.80,1.80,1.40,,
June,1.02,0.24,1.40,1.57,1.61,2.48,3.09,1.94,0.62,2.01,,
July,3.29,1.44,1.44,2.23,2.36,3.04,2.19,0.75,2.44,3.60,,
August,4.46,2.40,1.04,2.42,0.98,3.69,0.05,2.75,1.76,1.93,,
September,0.67,1.01,2.57,2.76,1.66,3.10,1.26,1.60,0.18,2.22,,
October,0.65,3.76,2.17,2.90,2.32,1.40,0.12,1.76,5.08,0.30,,
November,2.10,2.15,1.27,3.56,0.28,3.65,0.78,2.00,2.09,4.51,,
December,1.55,2.41,1.29,1.04,2.84,1.69,2.06,2.15,1.38,1.58,,
Total,24.47,22.07,18.43,20.61,19.47,28.04,20.04,22.55,19.51,23.97,,
Calc annual,24.47,22.07,19.43,20.61,19.47,28.04,20.04,22.55,19.51,23.97,,
Difference,-0.00,0.00,-1.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
