LEATHERHEAD-GREAT-BOOKHAM-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ133546,Long,-0.37695375,Lat,51.279287,Elevation,210,ft.,,,,,,,,,,,,
Station no,RR8383,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,4.08,1.86,3.16,6.14,4.06,1.41,3.34,0.87,6.44,1.27,3.01
February,,,,,,,,,1.55,3.49,3.16,1.34,1.71,2.47,2.19,1.53,2.22,1.99,1.43,3.69
March,,,,,,,,,1.7,2.49,2.05,1.85,2.36,2.16,0.59,0.97,3.57,3.06,1.06,0.72
April,,,,,,,,,2.15,1.5,0.18,3.58,1.03,0.8,2.56,1.29,2.1,2.73,3.3,2.98
May,,,,,,,,,1.22,4.07,1.35,0.64,3.18,1.64,1.88,1.18,0.84,2.76,2.11,3.99
June,,,,,,,,,0.41,0.96,0.38,3.2,1.82,1.72,3.95,2.45,1.89,1.27,2.21,3.99
July,,,,,,,,,3.34,0.63,1.34,3.71,2.63,2.51,0.52,5.36,0.39,3.52,0.73,3.8
August,,,,,,,,,3.09,1.34,2.62,1.19,1.54,2.14,2.24,1.1,3.54,4.2,4.69,4.94
September,,,,,,,,,3.2,3.59,2.95,4.94,1.52,3.4,2.26,1.39,2.94,1.55,1.55,3.15
October,,,,,,,,,2.48,2.42,4.02,1.97,6.06,2.99,6.07,4.65,2.07,2.35,2.58,1.24
November,,,,,,,,,1.55,2.52,2.28,0.47,3.76,3.02,2.45,3.9,3.01,5.6,3.98,0.9
December,,,,,,,,,5.75,3.32,3.29,1.48,5.59,0.47,2.84,1.28,6.85,2.21,1.87,0.88
Total,,,,,,,,,,30.41,25.48,27.53,37.34,27.38,28.96,28.44,30.29,37.68,26.78,33.29
,,,,,,,,,,,,,,,,,,,,
NGR is the vicarage. Altitude from OS map,,,,,,,,,,,,,,,,,,,,
