"BARROW-IN-FURNESS (RISEDALE SCHOOL)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3016/5,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,,2.69,5.78,
February,,,,,,,,,,2.76,0.37,
March,,,,,,,,,,0.64,2.24,
April,,,,,,,,,,1.93,2.03,
May,,,,,,,,,,1.82,1.33,
June,,,,,,,,,,2.06,1.06,
July,,,,,,,,,,3.64,3.06,
August,,,,,,,,,,4.82,7.04,
September,,,,,,,,,,1.89,2.28,
October,,,,,,,,,,5.21,6.61,
November,,,,,,,,,,8.26,5.20,
December,,,,,,,,,,7.85,5.27,
Total,,,,,,,,,,43.57,42.27,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.57,42.27,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,
