FERNILEE-BROWNHILL-FARM,,,,,,,,,,
Grid ref,SK020766,Long,-1.9714607,Lat,53.286366,Elevation,1040,ft.,,
Station no,2643/2/6,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,7.06,5.12,2.91,4.55,3.32,4.22,5.45,5.5,,
February,4.98,0.36,5.78,0.33,5.78,3.35,6.23,2,,
March,0.29,3.56,3.41,3.7,1.72,2.94,2.85,1.1,,
April,5.63,5.18,1.77,2.71,4.6,1.6,4.64,0.3,,
May,3.06,5.5,2.07,3.26,0.6,0.29,2.6,4.25,,
June,5.45,1.02,4.78,2.48,5.38,4.05,1.6,4.53,,
July,4.64,4.14,3.43,3.74,1.57,5.86,4.3,5.3,,
August,6.93,2.2,1.57,3.36,1.97,2.68,3.65,2.35,,
September,4.37,4.02,0.69,3.69,6.64,5.69,1.15,2.6,,
October,2.32,8.3,5.76,6.53,8.69,6.29,2.7,6.8,,
November,6.89,4.02,2.88,1.95,6.75,6.39,2.1,,,
December,1.88,1.77,0.46,7.2,5.61,4.86,3.6,6.52,,
Total,53.5,45.19,35.51,43.5,52.63,48.22,40.87,,,
,,,,,,,,,,
NGR is Brownhill Farm. Altitudes match,,,,,,,,,,
