CROWLAND - BANK HOUSE,,,,,,,,,,,,,,
Grid ref,TF239107,Long,-0.169,Lat,52.680,Elevation,10,ft,,,,,,
Station no,RR4183,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926
January,1.47,1.20,1.95,1.02,,1.54,3.80,1.70,1.95,2.34,0.92,2.04,0.81,4.62
February,,0.81,2.10,3.66,,0.94,2.47,0.45,0.60,2.06,3.18,0.42,1.92,1.85
March,3.39,2.48,1.49,4.09,,0.44,2.66,0.61,0.55,0.95,1.75,,1.21,0.14
April,1.63,0.85,0.18,0.88,,2.20,1.57,5.77,0.89,2.34,1.02,,1.73,2.17
May,1.78,0.92,2.38,2.27,,2.08,0.22,2.33,0.87,1.28,0.98,,4.22,2.27
June,2.68,4.56,1.32,2.12,,0.13,0.91,2.54,0.38,0.72,0.82,2.36,0.10,3.93
July,0.51,0.62,3.00,1.52,,4.37,2.88,3.52,0.47,5.13,3.29,2.53,2.31,1.77
August,0.49,1.24,1.47,3.91,,1.44,2.40,1.45,2.32,2.49,2.06,2.45,2.21,0.95
September,1.84,0.58,1.03,1.14,,4.17,1.30,1.78,0.81,1.04,1.97,1.95,2.68,2.66
October,5.08,1.29,1.12,1.51,,2.06,0.72,0.51,1.99,0.82,2.99,5.31,2.99,3.14
November,2.15,1.60,3.55,2.89,,2.10,1.92,0.44,1.92,1.46,1.25,2.86,2.26,3.80
December,0.73,2.02,4.01,2.59,,2.12,3.01,1.99,1.08,1.78,1.85,2.10,1.92,0.78
Total,,18.17,23.60,27.60,,23.59,23.86,23.09,13.83,22.41,22.08,,24.36,28.08
,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/018,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/011,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# The reading for February 1913 is an estimate and has been omitted.,,,,,,,,,,,,,,
