ASHTEAD-BARNET-WOOD-LANE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ178585,Long,-0.31117905,Lat,51.313428,Elevation,173,ft.,,,,,,,,,,,,
Station no,RR8467,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,0.91,1.33,0.96,2.01,1,2.77,3.47,0.55,4.35,,,,
February,,,,,,,,1.3,0.86,0.5,3.37,0.95,1.87,0.83,3.73,4.89,,,,
March,,,,,,,,0.67,2.95,3.66,1.14,1.61,3.47,2.5,3.92,0.58,,,,
April,,,,,,,,3.58,2.21,1.73,1.25,1.89,0.03,2.46,0.72,1.43,,,,
May,,,,,,,,1.63,1.83,1.31,1.58,2.17,1.23,2.27,1.39,2.87,,,,
June,,,,,,,,1.77,2.69,3.6,1.38,2.17,2.76,0.36,0.75,0.7,,,,
July,,,,,,,,1.24,2.34,2.95,2.87,0.48,1.21,4.05,1.99,4.04,,,,
August,,,,,,,,2.42,3.42,2.28,2.59,0.93,5.86,1.83,1.71,1.85,,,,
September,,,,,,,,0.58,1.21,3.07,0.76,1.21,3.25,2.26,0.86,2.02,,,,
October,,,,,,,,4.33,2.05,4.43,3.25,3.07,2.76,3.81,1.33,2.37,,,,
November,,,,,,,,1.97,0.7,0.74,2.91,3.46,2.21,2.42,3.3,2.46,,,,
December,,,,,,,,3.28,2.26,3.07,4.25,6.84,2.9,1.06,8.2,5.31,,,,
Total,,,,,,,,23.68,23.85,28.3,27.36,25.78,30.32,27.32,28.45,32.87,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is on Barnett Wood Lane, 200 yards from church as noted on the record. Altitudes match.",,,,,,,,,,,,,,,,,,,,
