LANGSETT MOOR MICKLEDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK192988,Long,-1.712124,Lat,53.48557,Elevation,1217,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,5.13,2.89,4.96,5.72,4.04,7.04,5.43,3.31,3.75,6.37,8.48,8.71,6.04,4.56,3.07,6.73,6.48,3.75,13.97,1.83,7.11,6.95,7.28,4.59,5.11,3.3,5.7,8.42,7.01,7.15,4.74,,3.93,7.35,8.5,4.77,7.9,5.65,12.9,2.89,3.41,5.92,6.2,2.08,4.82,3.8,7.54,4.23,5.8,4.78,8.27
February,6.12,6.99,2.34,1.98,3.58,5.81,8.3,0.63,7.87,2.45,4.98,0.48,5.7,8.83,1.47,7.33,4.43,2.09,6.16,0.5,0.99,7.35,0.48,8.92,0.25,8.93,5.31,7.74,3.33,4.59,3.8,,2.02,4.46,2.86,7.58,8.65,4.17,4.79,3.32,8.93,5.95,1.98,2.65,4.21,3.66,2.15,4.15,7.19,0.41,3.46
March,1.17,2.92,5.59,7.57,5.62,1.39,7.83,3.17,2.03,6.18,3.82,4.77,3.61,2.98,1.79,1.85,2.73,5.44,4.09,0.63,3.36,0.26,3.67,3.04,5.08,2.69,4.42,4.52,1.82,4.61,4.58,7.11,3.14,2.57,0.99,1.79,2.26,9.08,2.46,2.37,2.82,7.13,2.94,3.71,3.41,5.56,2.46,3.85,3.3,2.2,2.44
April,4.19,3.62,1.46,4.57,1.89,2.08,3.48,2.76,1.62,2.08,7,1.47,4.78,3.47,2.83,4.63,3.06,5.01,2.12,1.98,3.3,5.64,5.61,1.93,3.04,4.28,2.04,3.33,0.57,3.35,4.81,3.68,2.95,4.19,4,3.33,2.27,5.73,3.23,5.31,5.83,2.95,3.15,3.92,0.98,1.7,3.38,0.38,1.38,5.1,2.57
May,4.29,1.31,3.89,3.17,2.65,1.9,2.78,2.2,3.18,2.08,5.93,2.26,1.26,4.65,6.24,4.77,3.89,1.75,1.62,3.1,3.15,3.23,6.19,2.28,2.44,0.49,1.5,3.54,3.96,2.84,1.23,3.86,4.89,4.2,3.74,4.27,3.03,3.95,2.38,3.24,3.18,4.9,3.2,2.99,5.2,5.08,1.39,1.5,4.15,1.21,1.96
June,3.59,4.2,3.98,2.28,4.38,1.31,3.99,2.17,2.42,1.03,4,0.36,2.51,1.03,2.08,0.15,4.1,5.73,4.71,1.28,3.78,6.02,0.88,2.69,1.5,3.7,4.66,1.69,4.36,3.69,0.93,1.23,1.28,3.65,,4.27,5.09,3.74,6,0.85,1.8,1.17,2.59,3.53,3.1,3.86,4.15,1.21,5.86,2.33,1.85
July,4.09,0.29,6.99,1.3,3.48,5.93,2.81,2.93,4.15,4.1,6.76,1.59,4.68,4.11,4.71,1.84,4.27,3.44,1.86,4.29,8.68,5.49,4.92,3.83,2.35,2.05,4.31,3.12,5.31,7.96,3.99,2.94,4.93,2.51,3.5,1.93,4.33,2.55,1.79,5.08,3.06,3.6,2.71,5.2,4.02,1.1,9.11,3.71,4.87,3.22,5.2
August,4.83,4.09,8.74,1.48,2.68,4.62,2.4,8.19,2.36,3.97,2.23,6.05,7.03,4.35,4.73,4.49,5.01,6.13,4.54,4.56,5.03,8.56,2.7,0.93,3.2,2.18,2.05,1.02,3.81,2.54,1.76,6.43,5.39,5.88,4.5,3.64,5.01,0.46,6.89,3.35,3.81,6.53,3.14,4.48,6.5,1.15,9.73,6.96,3.16,0.82,3.52
September,0.32,3.02,2.25,2.78,3.48,0.61,2.44,2.37,12.24,2.83,2.05,1.36,4.97,4.91,4.62,3.88,2.95,7.04,0.48,1.88,6.64,5.92,4.78,1.9,3.23,6.95,6.23,2.23,3.24,2.73,4.31,0.54,3.47,5.63,6.07,2.83,8.1,2.23,2.14,2.27,7.14,3.66,5.51,3.02,5.24,1.76,4.97,5.56,5.16,0.11,4.33
October,4.06,4,4.49,4.83,3.21,2.44,9.61,7.59,3.81,3.88,3.18,3.06,1.38,4.38,6.65,5.19,5.11,5.65,6.77,6.13,6.64,2.5,8.13,5.64,4.77,12.15,5.78,4.22,12.25,4.75,6.7,6.54,7.58,2.87,,8.36,2.12,1.37,3.12,5.33,2.73,1.03,7.92,2.6,7.77,3.96,3.24,5.07,3.83,4.24,7.82
November,5.14,6.74,3.42,4.57,6.85,3.4,4.94,5.84,2.79,3.65,2.09,2.59,2.93,7.44,4.19,3.24,5.72,6.63,9.6,10.12,6.8,6.95,4.87,2.65,3.05,8.66,7.73,3.25,7.93,10.61,11.45,5.29,2.21,4.37,9.88,0.83,11.53,7.14,2.13,9.02,7.94,12.47,3.37,4.06,8.98,3.06,2.44,3.47,1.14,6.43,5.82
December,7.48,7.85,8.08,3.77,9.3,10.3,5.03,2.92,9.7,7.85,4.61,7.66,5.62,3.74,5.26,6.26,2.56,2.82,3.85,11.84,4.39,2.89,2.24,0.74,7.06,4.73,5.65,4.63,5.99,4.87,5.74,3.62,6.4,3.1,6.28,4.19,5.49,6.46,5.42,10.29,3.39,9.7,4.49,2.5,7.94,6.92,6.42,5.67,5.55,8.4,5.48
