LIVERPOOL Percy St,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ356893,Long,-2.9694,Lat,53.3972,Elevation,160,ft,,,,,,,,,,,,
Station no,RR354,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,,,,,,,,,,,,,,1.4,
February,,,,,,,,,,,,,,,,,,,3.96,
March,,,,,,,,,,,,,,,,,,,2.62,
April,,,,,,,,,,,,,,,,,,,1.76,
May,,,,,,,,,,,,,,4.92,0.81,,,,1.71,
June,,,,,,,,,,,,,,,,,,,3.62,
July,,,,,,,,,,,,,,,,,,,2.53,
August,,,,,,,,,,,,,,,,,,,4.1,
September,,,,,,,,,,,,,,,,,,,2.74,
October,,,,,,,,,,,,,,,,,,,4.4,
November,,,,,,,,,,,,,,,,,,,2.1,
December,,,,,,,,,,,,,,,,,,,1.53,
Total,,,,,33.21,28.02,29.51,30.1,32.77,33.57,,,,36,,34.06,38.17,,32.47,
,,,,,,,,,,,,,,,,,,,,
TYRain_1820-1829_C_pt2-page-104.csv,,,,,,,,,,,,,,,,,,,,
TYRain_1840-1849_E_pt1-page-034.csv 1843 and 1844 May both,,,,,,,,,,,,,,,,,,,,
TYRain_1840-1849_E_pt1-page-032.csv totals '43 '45-6,,,,,,,,,,,,,,,,,,,,
