ABERLADY THE MANSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT461798,Long,-2.865974,Lat,56.00809,Elevation,15,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,2.16,0.67,0.8,0.79,3.43,3.03,1.7,0.9,3.45,1.53,0.53,1.94,0.67,2.19,1.24,2.27,0.8,1.08,1.93,1.72,,,,,
February,,,,,,0.39,0.75,0.92,0.59,1.14,3.13,1.46,0.95,3.79,2.76,0.89,0.5,0.96,0.87,1.07,2.14,1.16,1.86,0.52,1.22,,,,,
March,,,,,,2.16,1.25,2.69,1.09,1.59,1.36,1.39,0.88,2.2,1.44,2.03,1.5,1.33,2.61,4.51,0.99,1.59,1.53,2.07,,,,,,
April,,,,,,1.2,0.91,0.81,1.92,2.22,1.09,1.15,1.08,0.87,1.23,1.8,0.75,1.45,1.52,2.51,2.84,0.96,0.13,1.56,,,,,,
May,,,,,,0.7,0.96,0.92,1.66,3.6,1,1.57,2.36,0.5,3.05,0.94,6.13,2.64,2,2.31,1.41,0.83,1.37,1.86,,,,,,
June,,,,,,1.55,1.95,3.56,1.53,1.09,2.19,1.31,2.32,1.58,2.38,0.57,1.93,2.52,0.77,1.17,0.84,2.21,2.99,1.37,,,,,,
July,,,,,,4.19,3.68,2.61,1.27,3.25,2.88,1.25,2.45,3.82,1.18,1.7,1.36,2.76,2.42,2.82,3.34,1.21,1.3,0.58,,,,,,
August,,,,,,3.22,1.93,3.57,3.29,0.84,4.38,4.08,1.46,4.22,4.81,2.72,4.89,3.23,1.49,2.01,4.87,1.25,3.83,1.74,,,,,,
September,,,,,,0.56,3.76,2.34,2.18,3.32,1.33,1.01,1.41,2.02,1.65,1.67,0.63,1.48,2.79,2.22,0.8,1.01,2.59,2.11,,,,,,
October,,,,,,3.05,3.63,0.85,5.06,0.99,4.09,1.38,1.13,4.94,0.85,1.74,7.21,6.91,0.93,2.74,2.67,3.08,2.74,1.37,,,,,,
November,,,,,,2.18,0.84,1.73,3.5,1.89,5.07,2.88,0.54,1.56,0.89,3.7,3.59,1.58,1.68,0.27,2.38,3.79,1.25,-999,,,,,,
December,,,,,,1.96,3.83,1.82,1.11,2.7,2.9,3.01,1.69,0.94,2.16,0.91,1.41,3.8,0.19,2.87,1.05,2.44,1.74,-999,,,,,,
Total,,,,,,23.32,24.16,22.62,23.99,26.06,32.45,22.19,17.17,29.89,23.93,19.2,31.84,29.33,19.46,25.74,25.6,20.33,22.41,17.78,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913 Nov/Dec bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
