MONTROSE MELVILLE GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO716575,Long,-2.464674,Lat,56.708782,Elevation,23,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5602,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,2.3,,,2.93,0.43,1.05,0.78,2.71,3.26,1.69,1.16,3.32,2.03,0.52,1.73,1.38,1.43,1.1,1.43,1.63,2.87,3.07,1.18,2.31,0.98,1.52,1.76,2.72,1.79,1.78,4.07,,,,,,,,,
February,,,2.1,,,0.69,1.25,0.56,0.72,1.88,2.88,1.46,1.14,3.55,2.78,0.72,0.79,0.97,0.41,0.48,2.06,0.71,3.04,0.7,2.17,4.06,1.89,0.85,1.94,1.88,1.2,0.5,2.01,,,,,,,,,
March,,,1.1,,,2.91,0.69,3.23,0.79,2.1,1.39,1.1,1.12,2.65,1.68,3.21,0.84,1.18,2.84,3.43,1.09,1.03,1.22,3.11,3.02,1.14,2.12,1.16,1.18,1.31,1.33,2.08,1.93,,,,,,,,,
April,,,1.18,,,0.87,0.94,1.17,5.36,2.6,1.26,2.85,2.39,1.2,1.3,1.97,1.15,2.03,0.91,3.21,2.05,1.49,0.1,2.34,0.78,0.45,1.66,0.88,0.46,2.08,2.13,1.34,2.35,,,,,,,,,
May,,,2.18,,,0.62,0.79,1.16,1.46,3.22,1.3,1.9,2.61,1.44,2.33,1.72,4.74,5.19,1.37,2.32,1.91,1.14,1.14,2.83,1.97,0.94,2.65,1.65,4.11,0.85,2.72,2.63,0.62,,,,,,,,,
June,,,2.23,,,1.91,2.52,4.11,1.05,2.51,2.14,1.59,2.25,1.93,0.69,0.43,0.54,5.82,0.92,0.71,1,1.03,1.54,1.83,0.77,0.76,3.55,0.84,1.5,1.05,0.37,0.8,0.88,,,,,,,,,
July,,,1.65,,,4.36,3.1,1,1.18,1.64,3.95,1.18,3.02,4.45,0.81,1.46,0.58,1.96,1.43,3.48,2.07,1.49,1.75,0.43,2.18,3.53,5.27,1.61,4.96,0.59,3.12,1.91,2.86,,,,,,,,,
August,,,3.81,,,3.18,1.67,2.71,2.04,0.89,2.58,2.45,3.4,4.02,4.73,4.49,4.82,2.64,2.39,1.68,5.01,0.99,3.26,1.26,1.61,2.49,4.11,3.84,1.89,2.24,2.81,2.02,2.21,,,,,,,,,
September,,,1.83,,,0.97,2.81,1.5,0.9,2.51,1.53,0.97,1.71,2.95,1.53,1.44,0.87,1.07,3.24,0.65,0.91,0.87,1.92,2.79,0.67,1.28,0.93,1.14,2.76,1.32,1.52,1.12,2.72,,,,,,,,,
October,,,4.23,,,2.68,3.18,2.26,3.07,0.5,2.5,2.09,1.64,4.78,0.74,1.2,5.17,4.77,2.92,2.48,2.43,2.05,3.62,1.3,2.17,2.77,3.52,2.74,1.83,2.02,2.21,1.44,1.64,,,,,,,,,
November,,,1.77,,,3.01,1.01,0.97,3.55,1.4,2.78,1.76,2.25,1.21,1.03,6.46,3.52,2.09,1.4,0.74,2.86,3.36,2.23,1.38,2.66,1.56,3.19,2.72,1.62,3.6,2.09,2.2,,,,,,,,,,
December,,,1.14,,,2.93,5.96,2.69,1.2,4.03,3.02,3.18,2.23,2.78,1.97,1.34,2.89,2.76,2.51,2.52,2.67,5.01,1.43,1.15,4.14,5.8,3.42,1.01,1.67,4.98,3.84,1.08,,,,,,,,,,
Total,,,25.52,,,27.06,24.35,22.41,22.1,25.99,28.59,22.22,24.92,34.28,21.62,24.96,27.64,31.86,21.77,22.8,25.49,20.8,24.12,22.19,23.32,27.09,33.29,19.96,25.68,24.64,25.13,18.9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The gauge moved to West End Park in October 1922, although the name on the 1910s record sheet suggests it might have been earlier. The gauge was on the roof of a pavilion in Melville Gardens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
