MONTROSE (WELLINGTON PARK),,,,,,,,,,,,
Grid ref,NO718582,Long,-2.462295,Lat,56.714631,Elevation,17,ft,,,,
Station no,5602/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.26,1.13,3.97,,
February,,,,,,,2.68,2.49,0.15,2.4,,
March,,,,,,,2.23,4.67,1.1,1.54,,
April,,,,,,,0.52,1.81,1.75,1.98,,
May,,,,,,,1.44,2.57,1.56,0.71,,
June,,,,,,,1.16,1.14,3.51,1.74,,
July,,,,,,,3.93,6.2,2.33,2.49,,
August,,,,,,,3.78,4.8,0.45,5.79,,
September,,,,,,,1.18,2.18,0.57,2.87,,
October,,,,,,,1.09,1.44,3.13,7.33,,
November,,,,,,,1.12,0.58,5.04,4.26,,
December,,,,,,,2.88,3.8,5.2,2.18,,
Total,,,,,,,,34.94,25.92,37.26,,
,,,,,,,,,,,,
NOTES,,,,,,,,,,,,
Jan 1957 reading is in brackets therefore removed along with annual total,,,,,,,,,,,,
