"MONTROSE MELVILLE GARDENS",,,,,,,,,,,,
Grid ref,NO717576,Long,-2.463863,Lat,56.709235,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.26,1.69,1.16,3.32,2.03,0.52,1.73,1.38,1.43,1.10,,
February,2.88,1.46,1.14,3.55,2.78,0.72,0.79,0.97,0.41,0.48,,
March,1.39,1.10,1.12,2.65,1.68,3.21,0.84,1.18,2.84,3.43,,
April,1.26,2.85,2.39,1.20,1.30,1.97,1.15,2.03,0.91,3.21,,
May,1.30,1.90,2.61,1.44,2.33,1.72,4.74,5.19,1.37,2.32,,
June,2.14,1.59,2.25,1.93,0.69,0.43,0.54,5.82,0.92,0.71,,
July,3.95,1.18,3.02,4.45,0.81,1.46,0.58,1.96,1.43,3.48,,
August,2.58,2.45,3.40,4.02,4.73,4.49,4.82,2.64,2.39,1.68,,
September,1.53,0.97,1.71,2.95,1.53,1.44,0.87,1.07,3.24,0.65,,
October,2.50,2.09,1.64,4.78,0.74,1.20,5.17,4.77,2.92,2.48,,
November,2.78,1.76,2.25,1.21,1.03,6.46,3.52,2.09,1.40,0.74,,
December,3.02,3.18,2.23,2.78,1.97,1.34,2.89,2.76,2.51,2.52,,
Total,28.59,22.22,24.92,34.28,21.62,24.96,27.64,31.86,21.77,22.80,,
Calc annual,28.59,22.22,24.92,34.28,21.62,24.96,27.64,31.86,21.77,22.80,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
