"MONTROSE (WELLINGTON PARK)",,,,,,,,,,,,
Grid ref,NO718582,Long,-2.462295,Lat,56.714631,,,,,,,
Station no,5602,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.57,-999.00,0.60,1.15,0.90,3.19,2.47,,,,,
February,2.31,-999.00,0.66,2.19,1.99,1.42,,,,,,
March,2.27,-999.00,0.29,2.12,1.47,0.98,,,,,,
April,2.49,1.04,3.13,1.28,0.78,1.02,,,,,,
May,1.47,2.83,1.90,2.98,1.39,0.42,,,,,,
June,1.69,2.26,1.44,1.50,0.68,2.59,,,,,,
July,2.69,2.38,4.00,1.66,0.65,3.33,,,,,,
August,3.80,2.42,2.33,2.66,0.36,4.56,,,,,,
September,1.45,0.80,2.85,2.02,1.65,4.75,,,,,,
October,0.76,2.40,1.21,5.18,2.43,1.82,,,,,,
November,7.07,1.91,2.52,4.81,2.09,0.81,,,,,,
December,1.91,2.00,3.34,2.75,-999.00,3.53,,,,,,
Total,32.48,-999.00,24.27,30.30,19.67,28.42,,,,,,
Calc annual,32.48,18.04,24.27,30.30,14.39,28.42,2.47,0.00,0.00,0.00,,
Difference,-0.00,-1017.04,0.00,0.00,5.28,0.00,NaN,NaN,NaN,NaN,,
