"DRUMSHANBO - LOUGH ALLEN SLUICES, County Leitrim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IG960124,Long,-8.062,Lat,54.061,Elevation,169,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,1.98,4.98,2.23,2.13,2.28,1.61,2.95,4.48,5.25,3.27,4.78,4.05,3.42,4.08,2.47,3.70,3.34,3.59,2.75,3.23,6.10,3.48,4.51,2.88,1.83,3.46,3.17,4.22,3.79,3.31,4.13,4.28,3.02,4.41,4.75,4.73,1.92,3.23,4.69,4.31,3.56,4.48,2.63,4.61,4.96,5.33,3.49,3.36
February,,3.88,4.19,1.02,2.44,3.01,3.36,2.43,3.86,1.70,2.55,3.76,3.85,2.22,3.67,3.25,2.85,1.69,6.05,4.46,3.86,2.02,5.87,4.82,3.50,0.76,4.18,0.97,2.55,0.62,3.90,5.26,1.85,3.58,2.29,2.47,2.53,2.99,0.27,4.36,0.10,2.10,0.39,4.48,1.93,4.58,1.82,3.43,3.50
March,,1.38,2.79,3.69,5.48,6.79,1.63,1.56,0.01,3.83,1.98,6.12,2.24,5.37,3.05,4.02,4.32,2.52,2.66,2.00,5.76,3.85,5.56,1.28,0.82,2.28,0.91,2.61,2.07,2.70,1.93,2.26,0.83,0.88,1.12,3.15,2.32,0.26,2.36,2.09,2.37,2.76,3.04,1.67,2.57,1.70,2.65,2.40,4.48
April,,1.37,4.25,1.14,2.34,4.61,3.04,4.44,3.20,4.61,2.27,1.94,2.91,1.65,2.29,2.25,1.72,3.64,2.17,2.30,1.07,4.31,1.54,2.85,4.40,1.72,0.53,1.62,2.09,0.96,2.45,2.34,3.12,2.97,1.35,1.27,1.25,0.66,1.25,2.50,2.79,1.62,2.31,2.29,1.18,2.37,0.32,1.37,3.10
May,,3.21,2.35,0.68,0.80,1.71,2.88,3.06,2.40,1.06,1.89,2.49,1.39,1.35,4.21,2.68,3.93,2.16,2.55,3.46,2.21,3.39,1.58,0.56,3.33,0.85,0.88,2.18,3.04,1.90,1.50,1.79,3.62,4.29,2.88,1.64,0.93,2.34,1.14,3.49,2.55,2.36,3.52,1.28,1.68,3.93,3.47,1.26,2.39
June,2.52,4.11,1.57,0.84,2.16,5.09,4.33,1.56,4.76,3.15,1.68,1.04,1.50,1.92,0.46,4.76,2.35,1.33,5.17,1.92,4.75,2.74,0.64,1.18,1.87,1.13,1.19,1.27,0.52,0.29,2.34,1.58,3.09,0.53,1.87,2.22,4.63,1.86,1.43,5.46,1.03,3.21,1.78,5.15,3.72,1.58,4.11,1.85,1.14
July,2.36,3.76,4.33,3.06,4.82,2.04,0.83,2.08,2.06,0.46,2.91,5.18,5.46,1.83,2.41,1.68,2.55,2.96,3.56,2.75,3.27,1.63,1.78,3.83,1.03,1.38,1.47,0.53,2.50,3.58,4.04,1.67,3.89,2.60,1.67,2.48,1.43,3.54,3.14,3.91,3.98,2.36,1.56,0.69,5.87,5.00,5.08,3.66,3.10
August,4.64,4.41,2.74,5.21,2.44,4.80,4.85,2.73,3.68,4.47,2.67,6.71,3.79,4.50,4.43,3.28,2.56,1.65,7.55,3.36,6.06,0.86,3.05,4.13,4.65,3.23,1.39,1.17,0.96,2.43,3.47,6.62,5.29,2.30,3.01,4.14,3.71,5.05,5.42,2.45,1.67,1.67,5.11,3.10,2.12,2.39,2.68,1.46,1.17
September,4.45,2.97,0.22,1.33,5.43,2.31,4.54,3.94,2.51,5.40,2.81,5.95,4.01,2.18,1.69,1.96,6.62,2.40,0.87,1.56,0.44,4.48,1.59,0.49,2.14,2.13,5.15,1.95,1.93,0.97,2.84,5.34,3.87,2.10,1.75,3.65,3.62,1.03,2.59,1.83,4.13,0.51,4.94,4.76,6.05,3.27,2.54,2.11,3.21
October,3.48,2.61,3.82,4.04,3.02,3.24,2.26,2.72,5.36,4.34,3.25,5.64,2.85,1.50,3.85,3.33,1.56,4.93,2.28,3.27,3.24,3.75,1.65,3.54,4.61,5.56,4.11,0.76,1.50,2.97,1.74,4.65,3.34,2.91,2.97,1.87,5.12,3.72,6.11,2.33,4.38,2.90,4.66,4.79,3.25,0.76,7.01,3.77,4.32
November,3.86,3.03,3.96,6.27,1.97,3.68,2.87,3.18,5.45,4.41,3.70,2.65,2.64,3.96,2.65,2.83,3.27,2.40,5.15,5.43,4.09,3.54,6.13,4.66,4.10,6.03,2.98,2.26,3.53,3.29,1.53,3.62,3.38,2.40,3.37,2.69,6.01,4.68,4.13,5.56,3.20,2.26,1.12,4.01,4.08,1.32,6.30,7.09,3.93
December,2.68,4.64,3.55,4.92,5.33,6.53,4.47,5.33,4.44,3.93,4.72,3.27,2.91,3.34,4.14,3.78,4.75,3.56,4.27,7.03,4.50,5.03,6.50,7.41,2.92,1.07,5.89,7.99,3.66,2.88,4.06,4.10,4.01,2.00,1.31,2.12,3.68,6.03,4.12,2.77,5.58,1.61,3.54,2.73,4.53,2.61,3.64,3.58,4.67
