LUMLEY-MOOR-RES,,,,,,,,,,
Grid ref,SE224706,Long,-1.6587032,Lat,54.130767,Elevation,565,ft.,,
Station no,3376/6/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,5.61
February,,,,,,,,,0.1,3.06
March,,,,,,,,,1.76,3.38
April,,,,,,,,,4.61,1.97
May,,,,,,,,,0.85,2.21
June,,,,,,,,,1.29,1.07
July,,,,,,,,,1.94,4.99
August,,,,,,,,,0.98,3.11
September,,,,,,,,,0.14,3.22
October,,,,,,,,,2.96,6.16
November,,,,,,,,,5.06,6.34
December,,,,,,,,,7.11,4.26
Total,,,,,,,,,,45.38
,,,,,,,,,,
NGR is from the 1950s record and is beside the reservoir at the stated altitude,,,,,,,,,,
MIDAS src_id 2246 and still current,,,,,,,,,,
