HORLEY-SMALLFIELD-(CRANLEIGH),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ293423,Long,-0.15162,Lat,51.16582,Elevation,205,ft,,,,,,,,,,,,
Station no,110/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,5.57,2.89,2.71,,6.07,1.5,2.01,2.43,2.77,,,
February,,,,,,,,,1.9,2.67,3.46,0.79,0.05,0.75,3.21,2.57,1.57,,,
March,,,,,,,,,1.15,3.14,3.48,2.53,,0.13,1.25,1.3,6.1,,,
April,,,,,,,,,2.37,1.58,1.54,1.79,1.04,2.07,1.24,2.47,1.96,,,
May,,,,,,,,,1.77,2.19,2.35,,2.94,0.46,1.91,2.32,1.5,,,
June,,,,,,,,,1.38,0.51,2.7,0.18,1.49,2.19,1.89,2.17,2.82,,,
July,,,,,,,,,2.37,3.19,2.05,1.89,1.7,2.27,3.16,2.05,1.06,,,
August,,,,,,,,,2.41,0.06,4.25,2.51,1.11,2.5,1.84,4.62,0.48,,,
September,,,,,,,,,1.16,1.58,0.37,,1.32,2.79,1.4,3.93,1.17,,,
October,,,,,,,,,7.96,4.1,1.12,3.81,3.62,4.38,4.21,1.15,0.54,,,
November,,,,,,,,,6.37,8.39,3.79,,1.63,5.01,0.18,5.42,1.1,,,
December,,,,,,,,,1.8,2.01,2.58,,1.85,2.77,3.42,3.02,2.08,,,
Total,,,,,,,,,36.21,32.31,30.4,,,26.82,25.72,33.45,23.15,,,
,,,,,,,,,,,,,,,,,,,,
1939 Jan 1 Gauge moved 2.5 miles W from Horley Smallfield,,,,,,,,,,,,,,,,,,,,
Cranleigh Haroldslea Drive ,,,,,,,,,,,,,,,,,,,,
Exact location unknown but most of west end of road matches elevation,,,,,,,,,,,,,,,,,,,,
1942 Jan May Sept Nov Dec Estimated,,,,,,,,,,,,,,,,,,,,
1943 Mar Marked as estimated,,,,,,,,,,,,,,,,,,,,
1946 Total adjusted to make sum correct All monthly totals seem correct,,,,,,,,,,,,,,,,,,,,
1947 Mar Adjusted for snow,,,,,,,,,,,,,,,,,,,,
