HORLEY-SMALLFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ325428,Long,-0.1061,Lat,51.16948,Elevation,215,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,110/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,1.31,1.32,2.68,4.01,3.1,2.45,3.56,1.64,2.24,3.35,3.49,2.36,4.54,1.42,3.83,2.08,3.42,2.45,2.83,1.05,5.4,7.01,3.07,,
February,,,,,,,4.11,0.82,1.02,1.9,0.45,0.31,2.24,4.19,0.71,5.11,2.6,5.62,1.83,0.44,0.81,2.35,0.42,2.93,0.27,4.27,2.07,4.66,0.82,,
March,,,,,,,3.15,1.53,0.78,3.11,1.58,1.28,2.41,2.23,1.78,0.61,0.31,3.93,2.15,0.03,1.41,0.43,2,3.67,2.8,0.69,1.4,3.77,0.4,,
April,,,,,,,0.99,2.13,4.05,2.38,2.71,0.48,2.65,2,3.25,2.74,3.58,2.02,1.8,0.74,1.65,4.68,2.23,0.79,2.45,3.07,1.91,2.77,0.24,,
May,,,,,,,1.72,2.09,1.4,0.31,0.85,1,0.7,2.87,3.57,2.9,1.54,0.96,1.66,2.06,3.11,2.58,4.06,2.22,0.63,1.8,0.72,2.53,2.77,,
June,,,,,,,1.69,1.27,0.77,0.91,0.73,0.06,1.41,0.34,3.03,0.15,4.29,3.57,2.58,1.29,0.54,1.63,1.75,1.69,1.33,4.21,3.5,2.11,0.65,,
July,,,,,,,1.03,3.7,4.41,2.03,4.22,0.26,3.33,2.01,5.54,3.98,1.66,2.86,2.27,3.66,2.41,3.93,2.6,1.54,1.9,1.08,3.76,1.34,2.08,,
August,,,,,,,2.88,5.17,1.22,2.17,1.13,1.75,3.09,1.66,3.01,2.41,2.56,4.27,3.51,2.61,3.68,5.95,0.83,0.86,1.65,3.24,0.55,1.58,1.92,,
September,,,,,,,1.42,2.74,4.49,0.92,3.1,0.72,1.86,1.73,3.15,2.74,0.85,4.89,0.94,0.27,3.08,1.7,2.02,2.78,1.82,4.15,2.14,1.92,3.4,,
October,,,,,,,3.31,2.92,1.21,0.55,0.81,0.72,0.94,6.01,3.79,3.63,3.78,1.8,6.39,4.22,1.65,0.56,6.5,1.85,1.94,4.54,2.76,3.84,3.42,,
November,,,,,,,3.79,1.4,2.03,1.93,1.26,1.72,1.66,1.81,3.44,3,6.51,3.27,2.41,6.94,5.21,5,1.35,1.08,4.17,6.29,4.92,1.97,4.27,,
December,,,,,,,2.74,1.41,2.55,3.61,1.95,1.81,3.91,2.81,5.07,3.41,0.38,4.33,3.28,7.97,2.51,0.6,0.55,0.51,8.15,4.19,3.24,4.67,3.65,,
Total,,,,,,,28.14,26.5,26.61,23.83,21.89,12.56,27.76,29.3,38.58,34.03,31.55,39.88,33.36,31.65,29.89,31.49,27.73,22.37,29.94,38.58,32.37,38.17,26.69,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triddles Farm Smallfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Jan 1 Gauge moved 2.5 miles W to Horley Cranleigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
