"MORCHARD BISHOP HARTNOLLS",,,,,,,,,,,,
Grid ref,SS757087,Long,-3.767654,Lat,50.864405,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,,,
August,,,,,,,,,,1.66,,
September,,,,,,,,,,2.18,,
October,,,,,,,,,,5.11,,
November,,,,,,,,,,1.48,,
December,,,,,,,,,,5.44,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.87,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
