"LINCOLN BOULTHAM",,,,,,,,,,,,
Grid ref,SK967694,Long,-0.553415,Lat,53.212873,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.66,0.91,0.80,1.81,2.01,1.00,2.52,1.03,0.79,1.22,,
February,3.58,1.83,1.71,0.47,2.98,0.70,1.90,1.40,1.77,0.44,,
March,0.72,2.29,1.60,3.82,1.80,1.65,1.45,1.28,2.17,2.77,,
April,1.28,1.26,2.03,1.47,0.88,1.58,0.72,1.48,2.48,1.39,,
May,1.68,0.99,2.75,2.66,2.33,0.51,1.05,3.24,1.77,0.74,,
June,2.88,1.76,2.30,0.96,0.41,2.77,1.60,2.24,1.20,2.81,,
July,0.96,2.96,1.37,2.80,3.12,1.25,0.53,1.42,2.34,3.57,,
August,6.16,1.96,3.20,5.25,3.28,3.60,2.33,1.89,2.03,3.64,,
September,0.77,0.98,0.87,3.88,1.91,2.00,0.79,0.63,1.43,1.38,,
October,2.72,1.59,2.25,6.46,0.39,1.50,4.57,5.02,0.82,2.38,,
November,2.39,2.62,1.86,1.93,0.97,2.35,2.41,2.06,1.08,0.12,,
December,3.76,5.61,1.85,0.91,1.94,0.46,2.14,1.77,1.27,4.07,,
Total,30.56,24.76,22.59,32.42,22.02,19.37,22.01,23.46,19.15,24.53,,
Calc annual,30.56,24.76,22.59,32.42,22.02,19.37,22.01,23.46,19.15,24.53,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
