"WOOLER FENTON",,,,,,,,,,,,
Grid ref,NT988348,Long,-2.020608,Lat,55.606807,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,1.67,0.79,1.72,,,
February,,,,,,,1.26,1.50,1.89,,,
March,,,,,,,1.62,1.23,4.06,,,
April,,,,,,,0.98,2.23,2.34,,,
May,,,,,,,9.06,3.40,1.81,,,
June,,,,,,,1.84,3.89,0.75,,,
July,,,,,,,1.32,2.23,2.48,,,
August,,,,,,,3.55,1.74,1.65,,,
September,,,,,,,0.48,0.66,1.95,,,
October,,,,,,,6.52,7.84,2.04,,,
November,,,,,,,3.46,2.24,1.35,,,
December,,,,,,,2.91,3.04,1.51,,,
Total,,,,,,,34.67,30.79,23.55,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,34.67,30.79,23.55,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,NaN,,
