"PURLEY RUSSELL HILL",,,,,,,,,,,,
Grid ref,TQ309620,Long,-0.122037,Lat,51.342022,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.60,0.97,,
February,,,,,,,,,1.01,0.71,,
March,,,,,,,,,2.62,3.24,,
April,,,,,,,,,2.34,1.82,,
May,,,,,,,,,2.19,1.13,,
June,,,,,,,,,1.66,2.80,,
July,,,,,,,,,3.03,3.06,,
August,,,,,,,,,3.48,1.92,,
September,,,,,,,,,1.25,3.04,,
October,,,,,,,,,2.30,4.21,,
November,,,,,,,,,0.68,0.91,,
December,,,,,,,,,2.38,2.98,,
Total,,,,,,,,,24.54,26.79,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.54,26.79,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
