"DONCASTER",,,,,,,,,,,,
Grid ref,SE570026,Long,-1.141835,Lat,53.516994,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.05,1.03,0.80,1.62,1.79,0.42,2.66,0.45,1.16,0.71,,
February,2.96,0.95,1.10,1.06,3.32,0.66,1.85,0.99,1.45,0.25,,
March,0.60,1.38,1.05,2.22,1.46,1.92,1.35,1.18,2.85,2.69,,
April,0.69,0.98,2.04,1.16,1.17,1.70,0.68,1.81,1.80,1.50,,
May,1.00,0.64,2.31,3.09,1.79,0.45,1.08,3.15,2.13,1.85,,
June,2.14,1.17,1.70,1.63,0.39,1.92,1.81,3.05,1.28,2.80,,
July,1.42,2.05,1.81,2.16,2.20,1.11,0.33,2.21,3.26,3.69,,
August,3.15,1.22,4.16,2.67,2.83,3.02,0.89,1.57,1.87,2.54,,
September,0.66,0.92,0.66,2.71,1.38,0.87,1.92,0.46,1.28,1.74,,
October,2.73,1.79,2.43,5.49,0.43,1.23,4.84,4.52,0.47,2.03,,
November,2.20,2.78,1.47,0.94,0.86,3.05,2.60,1.78,0.81,0.21,,
December,2.68,4.06,1.87,0.76,1.24,0.24,2.22,2.46,1.38,4.55,,
Total,23.28,18.97,21.40,25.51,18.86,16.59,22.23,23.63,19.74,24.56,,
Calc annual,23.28,18.97,21.40,25.51,18.86,16.59,22.23,23.63,19.74,24.56,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
