"ST AUBINS BELLE VUE",,,,,,,,,,,,
Grid ref,WV604491,Long,-2.171080,Lat,49.190750,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.96,1.74,0.82,2.52,,
February,,,,,,,3.87,1.75,1.98,0.79,,
March,,,,,,,1.95,0.79,3.31,4.69,,
April,,,,,,,1.40,2.66,2.88,1.01,,
May,,,,,,,1.87,2.63,1.07,0.73,,
June,,,,,,,0.77,1.53,1.01,3.28,,
July,,,,,,,0.66,3.30,1.04,2.01,,
August,,,,,,,0.76,0.59,1.47,0.88,,
September,,,,,,,0.90,1.37,2.95,1.74,,
October,,,,,,,3.45,6.73,2.88,7.57,,
November,,,,,,,5.41,3.98,1.28,2.25,,
December,,,,,,,3.83,3.20,4.37,5.06,,
Total,,,,,,,28.83,30.27,25.06,32.53,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,28.83,30.27,25.06,32.53,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,,
