"FLAX BOURTON, BACKWELL HILL HOUSE",,,,,,,,,,,,
Grid ref,ST500691,Long,-2.720422,Lat,51.418697,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.22,0.74,4.45,1.86,1.54,1.32,,
February,,,,,3.74,0.68,2.19,1.79,1.80,0.53,,
March,,,,,2.50,3.92,2.46,0.94,2.89,3.27,,
April,,,,,1.96,2.59,0.89,3.24,2.86,2.87,,
May,,,,,3.38,0.27,3.02,2.75,2.12,1.80,,
June,,,,,1.88,3.85,2.51,3.23,0.40,3.77,,
July,,,,,3.89,1.12,1.47,2.60,2.25,3.09,,
August,,,,,3.24,4.34,3.38,2.87,4.79,2.70,,
September,,,,,1.68,1.68,0.82,0.76,2.88,2.75,,
October,,,,,1.69,1.99,5.88,5.80,1.51,6.49,,
November,,,,,2.24,3.02,3.17,2.79,1.09,1.45,,
December,,,,,2.18,1.27,1.38,4.60,2.19,5.41,,
Total,,,,,31.60,25.47,31.62,33.23,26.32,35.45,,
Calc annual,0.00,0.00,0.00,0.00,31.60,25.47,31.62,33.23,26.32,35.45,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,-0.00,0.00,,
