"LAMMERMUIR HILLS (LAMMERLOCH RES)",,,,,,,,,,,,
Grid ref,NT515634,Long,-2.776431,Lat,55.861331,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.53,1.86,0.37,1.41,1.53,,
February,,,,,,0.99,1.34,0.92,1.70,1.26,,
March,,,,,,2.28,1.83,1.29,2.62,2.85,,
April,,,,,,2.09,1.04,1.13,1.50,3.75,,
May,,,,,,0.62,4.38,2.41,2.37,3.19,,
June,,,,,3.33,0.64,2.09,2.83,1.11,1.02,,
July,,,,,1.76,3.20,0.68,3.14,3.44,3.86,,
August,,,,,3.83,1.43,6.96,2.74,2.14,1.39,,
September,,,,,0.76,1.93,0.78,1.30,3.52,2.53,,
October,,,,,1.41,4.37,3.69,5.51,1.54,4.24,,
November,,,,,0.99,3.68,5.59,2.55,1.60,0.20,,
December,,,,,1.52,1.65,1.04,2.80,0.43,1.59,,
Total,,,,,,23.41,31.28,26.99,23.38,27.41,,
Calc annual,0.00,0.00,0.00,0.00,13.60,23.41,31.28,26.99,23.38,27.41,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,-0.00,,
