"DARLINGTON PUBLIC PARK",,,,,,,,,,,,
Grid ref,NZ286134,Long,-1.559740,Lat,54.515100,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.34,1.40,0.41,2.48,2.00,0.61,2.88,,1.08,1.04,,
February,5.92,1.39,1.62,1.38,1.75,0.75,1.25,,1.80,1.49,,
March,1.56,2.33,1.01,2.80,1.92,1.49,1.13,,3.72,4.99,,
April,1.13,1.56,1.72,1.34,1.10,2.54,1.06,,2.78,2.17,,
May,1.89,1.45,2.64,3.91,2.68,0.82,2.94,,2.70,,,
June,2.64,1.70,1.79,2.31,2.71,1.31,0.68,,0.56,,,
July,1.94,4.05,3.06,4.47,1.89,0.77,2.52,,3.15,,,
August,6.58,1.22,2.47,1.72,3.26,3.34,2.69,,1.81,,,
September,0.70,1.31,0.71,2.68,1.42,2.41,0.35,,2.57,,,
October,5.81,2.16,3.50,7.01,0.45,1.71,3.93,,1.51,,,
November,2.85,6.21,1.58,1.34,1.77,3.66,2.23,,1.29,,,
December,2.23,3.54,2.02,1.13,1.86,0.41,2.53,,1.10,,,
Total,36.59,28.32,22.53,32.57,22.81,19.82,24.19,,24.07,,,
Calc annual,36.59,28.32,22.53,32.57,22.81,19.82,24.19,0.00,24.07,9.69,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,NaN,0.00,NaN,,
