"BURTON UPON STATHER NORMANBY",,,,,,,,,,,,
Grid ref,SE872172,Long,-0.682415,Lat,53.644053,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.99,,
February,,,,,,,,,,0.70,,
March,,,,,,,,,,2.69,,
April,,,,,,,,,,2.54,,
May,,,,,,,,,,1.25,,
June,,,,,,,,,,2.67,,
July,,,,,,,,,,3.92,,
August,,,,,,,,,,4.81,,
September,,,,,,,,,,1.64,,
October,,,,,,,,,,2.49,,
November,,,,,,,,,,0.46,,
December,,,,,,,,,,4.05,,
Total,,,,,,,,,,28.21,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.21,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
