"FARNHAM  HALE SCHOOL",,,,,,,,,,,,
Grid ref,SU837490,Long,-0.802533,Lat,51.234056,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.32,4.48,1.19,,
February,,,,,,,,1.35,4.11,0.32,,
March,,,,,,,,2.26,3.49,4.23,,
April,,,,,,,,4.51,3.35,1.71,,
May,,,,,,,,2.85,2.25,1.36,,
June,,,,,,,,1.26,1.21,2.47,,
July,,,,,,,,1.63,1.85,1.68,,
August,,,,,,,,2.66,3.85,0.42,,
September,,,,,,,,0.65,0.75,4.19,,
October,,,,,,,,6.18,2.88,6.79,,
November,,,,,,,,2.34,0.97,1.23,,
December,,,,,,,,3.56,2.96,6.50,,
Total,,,,,,,,29.57,32.15,32.09,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.57,32.15,32.09,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
