"KNOCKHOLT KENT WATERWORKS",,,,,,,,,,,,
Grid ref,TQ467583,Long,0.103129,Lat,51.304921,,,,,,,
Station no,386,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.06,0.97,1.05,2.94,5.21,1.30,5.90,1.45,1.75,1.20,,
February,4.48,1.36,1.60,2.17,3.69,0.84,2.82,1.82,1.67,0.52,,
March,0.87,2.88,1.97,3.05,1.45,4.28,1.42,1.22,3.17,3.56,,
April,1.04,2.41,0.76,2.28,1.40,2.32,0.60,3.33,2.59,1.75,,
May,1.31,0.75,2.71,2.35,2.41,0.83,1.34,2.49,1.92,1.44,,
June,2.49,1.65,4.02,6.05,1.14,5.99,2.56,1.39,2.63,3.73,,
July,0.95,1.90,1.31,4.75,1.48,0.47,1.49,1.26,4.27,3.59,,
August,3.55,2.03,2.98,4.23,1.91,2.77,0.70,1.94,4.09,2.03,,
September,1.38,1.52,0.59,2.75,2.17,2.44,2.35,0.81,1.89,3.73,,
October,2.28,2.59,2.58,8.03,2.50,1.64,4.92,3.80,1.67,6.10,,
November,3.07,0.86,2.31,3.02,1.96,4.53,6.38,2.33,1.33,1.24,,
December,3.95,5.30,2.01,2.31,3.90,0.97,1.88,3.61,3.09,4.16,,
Total,29.43,24.22,23.89,43.93,29.22,28.38,32.36,25.45,30.07,33.05,,
Calc annual,29.43,24.22,23.89,43.93,29.22,28.38,32.36,25.45,30.07,33.05,,
Difference,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
