"ENNISCORTHY MONART RECTORY",,,,,,,,,,,,
Grid ref,IS9425140443,Long,-6.612444,Lat,52.507530,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,5.40,3.88,1.92,4.76,0.59,2.59,,,
February,,,,2.85,4.22,1.14,2.89,1.52,1.73,,,
March,,,,5.62,3.24,4.82,2.16,0.95,4.06,,,
April,,,,1.29,1.44,4.39,0.86,3.35,3.14,,,
May,,,,3.26,1.69,1.45,2.95,4.43,2.59,,,
June,,,,4.88,2.69,1.76,2.04,4.27,1.14,,,
July,,,,5.15,3.49,2.08,1.54,3.12,3.80,,,
August,,,,5.09,3.95,4.85,2.41,2.64,,,,
September,,,,3.10,4.12,1.89,0.95,1.55,,,,
October,,,,4.63,1.27,0.79,5.60,6.57,,,,
November,,,,2.11,1.83,4.16,1.77,4.31,,,,
December,,,,5.73,3.41,2.19,2.41,4.40,,,,
Total,,,,49.11,35.23,31.44,30.34,37.70,,,,
Calc annual,0.00,0.00,0.00,49.11,35.23,31.44,30.34,37.70,19.05,0.00,,
Difference,NaN,NaN,NaN,-0.00,-0.00,0.00,0.00,0.00,NaN,NaN,,
