"TOTNES FERNLEIGH",,,,,,,,,,,,
Grid ref,SX810605,Long,-3.676877,Lat,50.432257,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.52,,2.20,,,,,,,,,
February,8.65,,2.23,,,,,,,,,
March,2.74,,2.88,,,,,,,,,
April,1.58,,2.65,,,,,,,,,
May,2.72,,1.52,,,,,,,,,
June,3.89,,3.15,,,,,,,,,
July,0.79,,2.70,,,,,,,,,
August,2.63,,3.18,,,,,,,,,
September,2.07,,2.57,,,,,,,,,
October,2.83,,3.93,,,,,,,,,
November,3.98,,5.82,,,,,,,,,
December,8.30,,3.73,,,,,,,,,
Total,47.70,,36.56,,,,,,,,,
Calc annual,47.70,0.00,36.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
