"ROTHESAY BARONE COTTAGE GLENBURN HYDROPATHIC",,,,,,,,,,,,
Grid ref,ZZ000000,Long,NaN,Lat,NaN,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.84,3.70,4.19,6.27,4.98,4.40,5.27,3.71,5.38,5.05,,
February,3.87,2.03,2.01,5.72,4.74,4.64,5.30,3.57,4.59,2.51,,
March,0.34,2.25,2.98,6.11,2.47,5.24,4.04,5.55,6.05,2.45,,
April,3.17,4.09,1.92,1.89,4.58,3.50,2.46,3.42,2.11,5.69,,
May,4.22,1.99,2.75,3.05,3.02,2.33,5.67,5.32,2.72,3.18,,
June,2.90,4.04,1.78,2.12,1.97,1.48,1.87,4.85,3.73,3.16,,
July,5.11,1.35,4.77,4.71,3.07,3.42,3.24,3.54,3.95,5.38,,
August,4.62,5.97,3.71,9.50,5.95,5.82,5.56,6.45,4.15,3.45,,
September,4.38,4.20,5.12,3.74,4.76,3.87,3.56,2.67,8.45,2.54,,
October,6.60,5.60,2.76,9.69,2.74,4.43,7.78,6.32,2.20,7.07,,
November,5.60,4.48,4.97,3.87,4.02,5.48,5.68,5.58,5.22,3.00,,
December,7.52,4.38,4.77,4.90,4.25,3.96,5.24,7.56,7.13,6.17,,
Total,54.17,44.08,41.73,61.57,46.55,48.57,55.67,58.54,55.68,49.65,,
Calc annual,54.17,44.08,41.73,61.57,46.55,48.57,55.67,58.54,55.68,49.65,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
