"NOTTINGHAM STRELLEY HALL",,,,,,,,,,,,
Grid ref,SK507421,Long,-1.246448,Lat,52.973863,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,2.95,1.07,1.03,0.91,,
February,,,,,,,2.79,1.64,1.74,0.69,,
March,,,,,,,1.49,1.28,2.96,3.52,,
April,,,,,,,0.44,2.85,2.23,1.40,,
May,,,,,,,2.16,3.48,2.02,1.09,,
June,,,,,,,1.69,2.89,1.75,2.14,,
July,,,,,,,0.63,2.23,2.93,3.58,,
August,,,,,,,1.32,2.04,3.63,2.81,,
September,,,,,,,1.01,0.72,1.60,2.77,,
October,,,,,,,5.42,4.02,1.13,3.11,,
November,,,,,,,2.71,1.92,1.20,0.44,,
December,,,,,,,2.27,2.69,1.55,4.27,,
Total,,,,,,,24.88,26.83,23.77,26.73,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,24.88,26.83,23.77,26.73,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,0.00,0.00,,
