"LEITH",,,,,,,,,,,,
Grid ref,NT270760,Long,-3.171186,Lat,55.971424,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.35,1.85,1.09,4.04,2.10,0.73,2.43,0.91,2.45,2.11,,
February,2.42,1.27,0.90,3.76,2.24,0.95,0.75,0.98,1.00,1.03,,
March,1.12,1.51,0.72,3.25,1.46,2.20,1.75,1.78,2.95,4.37,,
April,1.09,1.26,1.17,0.92,1.66,1.37,0.82,1.28,1.88,2.31,,
May,0.90,2.08,2.09,1.06,3.05,0.75,5.31,2.76,1.99,1.86,,
June,2.81,1.79,2.41,1.42,1.86,1.10,1.38,2.57,0.83,1.32,,
July,2.62,1.02,2.65,3.75,1.23,1.67,1.78,2.75,3.25,2.75,,
August,3.89,3.72,1.72,3.59,4.38,2.59,4.75,4.07,1.42,1.78,,
September,1.44,0.96,0.72,1.87,1.68,1.57,0.74,1.77,2.72,2.22,,
October,4.11,1.61,0.90,5.08,0.60,1.95,5.82,7.21,1.31,3.96,,
November,4.94,2.51,0.51,1.30,0.79,3.17,3.31,0.96,1.71,0.71,,
December,3.54,2.89,1.54,0.90,2.37,1.13,1.35,3.70,0.63,2.67,,
Total,31.23,22.47,16.42,30.94,23.42,19.18,30.19,30.74,22.14,27.09,,
Calc annual,31.23,22.47,16.42,30.94,23.42,19.18,30.19,30.74,22.14,27.09,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
