"SOUTH TOTTENHAM ST IGNATIUS COLLEGE",,,,,,,,,,,,
Grid ref,TQ335882,Long,-0.074849,Lat,51.576864,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,2.54,,,
May,,,,,,,,,1.57,,,
June,,,,,,,,,1.29,,,
July,,,,,,,,,3.26,,,
August,,,,,,,,,2.57,,,
September,,,,,,,,,1.17,,,
October,,,,,,,,,2.09,,,
November,,,,,,,,,0.63,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.12,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
