"PRINCETOWN",,,,,,,,,,,,
Grid ref,SX590737,Long,-3.991437,Lat,50.546018,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,8.50,14.80,4.20,15.95,4.50,6.50,,,
February,,,,6.45,12.25,3.95,8.15,4.90,5.50,,,
March,,,,16.85,4.65,12.85,4.20,3.95,8.65,,,
April,,,,3.45,6.25,5.90,2.50,9.65,4.80,,,
May,,,,3.00,6.85,2.50,7.55,7.45,5.25,,,
June,,,,2.15,2.85,3.85,2.05,7.60,1.50,,,
July,,,,6.65,8.25,1.80,2.75,4.60,6.85,,,
August,,,,9.00,5.00,7.95,6.90,5.60,9.05,,,
September,,,,7.65,5.75,3.70,1.95,2.60,4.15,,,
October,,,,20.05,4.95,5.80,13.85,11.30,2.75,,,
November,,,,6.65,5.06,10.15,7.40,7.35,5.55,,,
December,,,,12.00,8.95,4.20,7.05,12.20,8.95,,,
Total,,,,102.40,85.61,66.85,80.30,81.70,69.50,,,
Calc annual,0.00,0.00,0.00,102.40,85.61,66.85,80.30,81.70,69.50,0.00,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,,
