"WATTEN H.R.S.",,,,,,,,,,,,
Grid ref,ND250557,Long,-3.287922,Lat,58.483040,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.40,2.00,2.09,2.81,1.34,2.33,1.86,2.83,2.02,2.20,,
February,1.75,3.00,1.51,2.21,3.01,3.27,4.17,1.54,2.55,1.37,,
March,1.68,1.87,1.38,1.37,0.94,3.12,1.37,1.46,2.95,1.53,,
April,1.63,2.64,1.28,2.32,3.19,2.54,1.52,1.74,1.62,,,
May,1.82,1.26,1.61,1.63,1.26,1.13,3.75,0.98,1.73,,,
June,2.41,2.37,1.41,0.91,1.30,0.72,0.33,3.24,1.77,,,
July,4.05,1.83,2.39,3.73,1.53,2.11,2.16,1.06,0.97,,,
August,2.44,3.61,1.85,5.57,2.87,2.78,1.82,2.98,1.61,,,
September,2.48,0.86,2.07,2.72,2.79,2.38,1.93,0.54,4.17,,,
October,3.24,2.76,1.85,4.72,1.70,4.67,2.48,2.40,1.09,,,
November,3.09,2.88,0.94,4.93,2.20,4.01,4.58,1.63,3.17,,,
December,2.86,4.22,3.04,1.55,2.46,1.37,2.81,1.57,2.10,,,
Total,29.85,29.30,21.42,34.47,24.59,30.43,28.78,-999.00,25.75,,,
Calc annual,29.85,29.30,21.42,34.47,24.59,30.43,28.78,21.97,25.75,5.10,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1020.97,0.00,NaN,,
