"LOUGHBOROUGH FOREST ROAD",,,,,,,,,,,,
Grid ref,SK534192,Long,-1.209993,Lat,52.767765,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.95,,1.22,,,,,,,,,
February,4.11,,1.72,,,,,,,,,
March,0.62,,1.44,,,,,,,,,
April,0.94,,2.04,,,,,,,,,
May,1.90,,2.33,,,,,,,,,
June,2.65,,2.21,,,,,,,,,
July,1.98,,1.32,,,,,,,,,
August,3.29,,3.66,,,,,,,,,
September,0.53,,1.44,,,,,,,,,
October,2.33,,2.01,,,,,,,,,
November,2.34,,1.52,,,,,,,,,
December,4.19,,1.57,,,,,,,,,
Total,28.83,,22.48,,,,,,,,,
Calc annual,28.83,0.00,22.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
