"CRAIGELLACHIE",,,,,,,,,,,,
Grid ref,NJ290451,Long,-3.186046,Lat,57.490541,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.34,2.60,1.75,2.75,0.94,1.79,1.52,1.91,1.92,2.69,,
February,3.92,3.21,1.40,4.34,2.78,3.44,3.26,2.23,3.52,1.91,,
March,4.81,3.23,2.55,1.12,0.94,3.19,3.64,1.59,3.48,3.56,,
April,1.41,1.76,1.43,3.38,1.86,2.71,1.72,2.02,3.06,3.40,,
May,0.87,0.95,4.31,2.20,2.56,1.38,4.77,2.51,1.11,2.70,,
June,2.20,3.18,2.48,1.38,0.80,0.39,1.27,4.20,1.26,1.09,,
July,4.65,2.41,3.53,5.18,0.96,1.46,1.68,2.66,4.82,2.88,,
August,4.17,2.98,3.50,3.04,3.51,3.69,3.36,2.60,2.07,1.98,,
September,1.90,0.56,1.76,1.87,2.08,2.38,1.75,0.92,4.74,2.75,,
October,3.55,2.50,2.67,3.59,1.54,6.11,5.79,5.93,0.38,4.29,,
November,2.92,3.06,0.97,4.42,2.73,5.79,8.22,1.76,2.18,2.37,,
December,2.26,3.77,4.09,1.39,3.69,0.75,3.82,1.70,1.57,2.93,,
Total,36.00,30.21,30.44,34.66,24.39,33.08,40.80,30.03,30.11,32.55,,
Calc annual,36.00,30.21,30.44,34.66,24.39,33.08,40.80,30.03,30.11,32.55,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,,
