"BANSHA CASTLE",,,,,,,,,,,,
Grid ref,IR9524933077,Long,-8.070611,Lat,52.449444,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,7.20,,,,,,,,
February,,,,2.15,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,2.39,,,,,,,
July,,,,,4.14,,,,,,,
August,,,,5.60,3.03,,,,,,,
September,,,,2.46,2.77,,,,,,,
October,,,,4.19,1.88,,,,,,,
November,,,,2.07,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,23.67,14.21,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
