"BROCTON BROCTON LODGE",,,,,,,,,,,,
Grid ref,SJ971200,Long,-2.044431,Lat,52.777577,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.13,4.19,,,,,
February,,,,,,0.83,2.07,,,,,
March,,,,,,2.93,2.14,,,,,
April,,,,,,1.88,1.40,,,,,
May,,,,,,0.49,3.08,,,,,
June,,,,,,2.92,1.54,,,,,
July,,,,,,1.40,0.69,,,,,
August,,,,,,4.18,2.22,,,,,
September,,,,,,1.16,1.71,,,,,
October,,,,,,1.53,4.88,,,,,
November,,,,,,2.75,3.13,,,,,
December,,,,,,0.75,2.79,,,,,
Total,,,,,,21.95,29.84,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,21.95,29.84,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,,
