"STRATHMIGLO",,,,,,,,,,,,
Grid ref,NO216101,Long,-3.267719,Lat,56.276869,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.61,2.61,1.89,6.72,2.56,,,,,,,
February,4.06,1.22,1.30,6.66,3.69,,,,,,,
March,1.21,2.06,1.75,5.45,2.15,,,,,,,
April,1.30,3.40,1.86,0.97,3.30,,,,,,,
May,2.55,2.80,2.33,1.31,2.33,,,,,,,
June,2.19,2.38,1.62,2.12,1.30,,,,,,,
July,4.18,0.83,3.06,5.02,,,,,,,,
August,4.66,3.74,3.02,4.62,,,,,,,,
September,2.79,2.30,1.83,2.89,,,,,,,,
October,3.97,2.87,1.50,7.06,,,,,,,,
November,5.71,2.02,3.64,1.32,,,,,,,,
December,5.77,4.66,5.03,3.67,,,,,,,,
Total,43.00,30.89,28.83,47.81,,,,,,,,
Calc annual,43.00,30.89,28.83,47.81,15.33,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
