"BASSENTHWAITE BASSENFELL",,,,,,,,,,,,
Grid ref,NY217326,Long,-3.215977,Lat,54.682343,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.27,2.24,3.36,4.87,4.28,2.30,5.73,1.39,4.59,3.40,,
February,5.23,1.95,1.41,5.97,3.49,2.84,3.48,1.98,2.97,3.90,,
March,0.71,2.38,2.56,6.46,3.07,4.06,2.57,3.88,3.87,4.91,,
April,2.36,2.50,2.46,1.81,3.90,3.80,1.21,2.36,2.14,2.50,,
May,2.33,1.66,2.38,2.68,3.21,2.30,4.92,3.66,2.94,2.03,,
June,3.10,2.51,1.36,1.23,2.00,1.41,1.79,5.08,1.99,2.61,,
July,2.29,1.35,3.16,4.79,2.15,1.79,2.62,1.92,4.47,7.07,,
August,7.02,4.64,1.96,7.75,2.65,3.32,5.78,3.70,5.59,3.27,,
September,2.16,2.13,1.74,5.27,1.95,4.08,1.16,0.26,2.81,2.76,,
October,6.46,5.10,3.40,10.51,1.71,3.61,7.23,8.94,1.46,7.77,,
November,4.31,6.02,2.15,3.95,4.01,4.01,4.24,4.33,3.26,2.62,,
December,6.15,6.12,3.91,3.69,4.77,2.60,3.91,6.81,2.94,5.64,,
Total,47.39,38.60,29.85,58.98,37.19,36.12,44.64,44.31,39.03,48.48,,
Calc annual,47.39,38.60,29.85,58.98,37.19,36.12,44.64,44.31,39.03,48.48,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
