"MASHAM MOOR BREARY BANK",,,,,,,,,,,,
Grid ref,SE160803,Long,-1.756131,Lat,54.218181,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.68,1.91,,
February,,,,,,,,2.73,3.19,1.11,,
March,,,,,,,,3.12,5.01,4.82,,
April,,,,,,,,2.10,2.40,3.27,,
May,,,,,,,,5.31,2.76,1.79,,
June,,,,,,,,4.28,2.05,3.58,,
July,,,,,,,,2.32,3.29,2.45,,
August,,,,,,,,1.68,2.66,3.76,,
September,,,,,,,,0.53,3.92,2.19,,
October,,,,,,,,7.16,2.25,3.79,,
November,,,,,,,,2.84,2.41,1.27,,
December,,,,,,,,1.58,1.80,5.03,,
Total,,,,,,,,,34.42,34.97,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.65,34.42,34.97,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
