"BADMINTON LYEGROVE",,,,,,,,,,,,
Grid ref,ST777817,Long,-2.322888,Lat,51.533760,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.98,1.30,,
February,,,,,,,,,1.53,0.76,,
March,,,,,,,,,3.27,3.90,,
April,,,,,,,,,3.59,2.49,,
May,,,,,,,,,1.66,2.39,,
June,,,,,,,,,0.66,3.73,,
July,,,,,,,,,2.64,3.00,,
August,,,,,,,,,4.92,2.71,,
September,,,,,,,,,2.76,3.28,,
October,,,,,,,,,2.85,6.01,,
November,,,,,,,,,1.27,1.28,,
December,,,,,,,,,2.33,5.24,,
Total,,,,,,,,,29.46,36.09,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.46,36.09,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
