"TOTTENHAM DRAYTON ROAD",,,,,,,,,,,,
Grid ref,TQ332901,Long,-0.078455,Lat,51.594008,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.90,1.76,0.70,,
February,,,,,,,,1.10,1.50,0.48,,
March,,,,,,,,1.02,2.15,2.61,,
April,,,,,,,,3.33,2.50,1.75,,
May,,,,,,,,1.83,1.49,1.57,,
June,,,,,,,,2.34,1.34,3.80,,
July,,,,,,,,2.79,3.34,2.97,,
August,,,,,,,,1.60,2.40,1.56,,
September,,,,,,,,0.67,1.18,2.55,,
October,,,,,,,,2.51,1.89,3.56,,
November,,,,,,,,2.27,0.71,0.76,,
December,,,,,,,,3.60,1.74,2.61,,
Total,,,,,,,,23.96,22.00,24.92,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.96,22.00,24.92,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
