"SOUTHAMPTON COMMON RESERVOIR",,,,,,,,,,,,
Grid ref,SU417151,Long,-1.407956,Lat,50.933847,,,,,,,
Station no,652(693/2),,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.35,3.50,0.83,6.82,0.67,1.22,0.74,,
February,,,,1.55,2.80,0.55,2.55,1.33,1.10,0.12,,
March,,,,3.48,0.95,2.80,0.98,0.67,2.27,2.99,,
April,,,,2.99,1.02,1.39,0.70,3.85,1.70,0.99,,
May,,,,2.45,2.17,0.44,1.92,2.55,1.48,1.15,,
June,,,,3.50,1.03,2.38,1.48,1.40,0.45,4.40,,
July,,,,3.10,1.39,0.20,0.83,1.11,1.30,2.41,,
August,,,,3.16,1.84,2.95,1.19,1.42,4.41,2.01,,
September,,,,2.55,1.83,1.82,0.77,0.27,1.83,3.35,,
October,,,,7.59,2.20,1.70,5.48,6.74,1.53,7.41,,
November,,,,1.50,0.93,2.60,3.73,2.27,1.01,0.44,,
December,,,,2.23,3.00,0.65,1.47,2.34,2.29,2.10,,
Total,,,,36.45,22.66,18.31,27.92,24.62,20.59,28.11,,
Calc annual,0.00,0.00,0.00,36.45,22.66,18.31,27.92,24.62,20.59,28.11,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
