"KILMARNOCK NORTH CRAIG",,,,,,,,,,,,
Grid ref,NS438412,Long,-4.483198,Lat,55.639180,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.05,2.05,5.50,7.00,4.50,4.00,4.50,3.00,6.00,5.70,,
February,3.00,1.80,1.20,5.00,3.00,2.50,3.00,3.70,3.50,3.40,,
March,0.00,2.20,4.00,8.30,2.00,4.20,3.10,4.80,4.50,2.10,,
April,2.10,3.60,1.00,1.40,5.40,2.00,2.00,2.70,2.00,3.70,,
May,2.50,1.80,2.00,3.00,3.00,3.00,4.90,3.60,2.60,2.60,,
June,2.30,2.80,2.20,3.20,1.80,1.00,1.30,4.10,2.90,3.20,,
July,4.10,1.60,4.70,3.50,3.40,3.40,3.30,3.20,3.10,5.30,,
August,4.50,6.00,4.00,7.30,5.30,4.40,5.35,5.40,3.40,4.50,,
September,4.05,3.80,4.50,4.40,5.00,4.60,1.90,1.60,5.80,2.10,,
October,6.70,4.60,3.50,9.50,2.00,3.70,5.50,7.00,1.00,6.00,,
November,5.90,5.80,1.70,4.00,4.00,3.50,4.30,3.90,4.30,3.20,,
December,7.45,3.00,4.00,4.00,3.00,4.00,5.70,4.80,4.30,4.90,,
Total,48.65,39.05,38.30,60.60,42.40,40.30,44.85,47.80,43.40,46.70,,
Calc annual,48.65,39.05,38.30,60.60,42.40,40.30,44.85,47.80,43.40,46.70,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
