"SUMBURGHEAD",,,,,,,,,,,,
Grid ref,HU407079,Long,-1.275309,Lat,59.854290,,,,,,,
Station no,RR1,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.05,2.65,4.85,5.25,4.75,6.00,4.10,1.95,,1.79,,
February,1.95,2.75,0.95,10.80,3.75,2.80,3.85,3.25,,1.02,,
March,1.05,1.85,4.35,4.10,2.75,5.35,2.05,1.40,,1.15,,
April,1.50,2.50,2.10,4.65,5.55,4.35,1.50,1.90,,0.53,,
May,1.60,,2.10,0.55,1.95,1.90,3.55,0.40,,0.65,,
June,0.00,2.00,7.90,3.25,2.20,0.55,1.05,,1.10,0.45,,
July,1.60,0.75,3.65,1.90,0.80,1.60,4.65,,1.11,1.90,,
August,1.25,2.40,4.05,3.55,2.10,3.50,2.55,,0.87,2.05,,
September,2.60,1.30,4.60,2.55,2.45,2.20,3.25,,2.53,1.10,,
October,4.85,3.45,6.90,7.70,4.65,4.50,5.25,,1.10,2.88,,
November,2.65,3.60,3.80,2.10,2.55,4.40,4.75,,2.24,2.38,,
December,4.75,3.40,9.25,2.70,5.35,2.35,4.15,,2.91,2.52,,
Total,27.85,,54.50,49.10,38.85,39.50,40.70,,,18.42,,
Calc annual,27.85,26.65,54.50,49.10,38.85,39.50,40.70,8.90,11.86,18.42,,
Difference,0.00,NaN,0.00,0.00,0.00,0.00,0.00,NaN,NaN,0.00,,
