"HAYWARDS HEATH, EAST SUSSEX COUNTY ASYLUM,",,,,,,,,,,,,
Grid ref,TQ337228,Long,-0.096421,Lat,50.989082,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.34,0.73,0.90,2.51,,,,,,,,
February,4.99,1.53,1.25,1.79,,,,,,,,
March,1.15,1.40,1.47,2.48,,,,,,,,
April,0.97,2.20,0.69,2.18,,,,,,,,
May,0.69,1.27,0.77,3.10,,,,,,,,
June,2.81,1.73,3.16,4.07,,,,,,,,
July,0.86,2.32,1.58,3.66,,,,,,,,
August,1.77,1.74,4.24,3.92,,,,,,,,
September,0.95,1.88,0.53,3.13,,,,,,,,
October,1.54,3.88,1.15,6.47,,,,,,,,
November,3.14,0.66,2.53,1.95,,,,,,,,
December,3.30,4.52,1.74,2.03,,,,,,,,
Total,25.51,23.86,20.01,37.29,,,,,,,,
Calc annual,25.51,23.86,20.01,37.29,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
