"BURNHAM OVERY STAITHE",,,,,,,,,,,,
Grid ref,TF844442,Long,0.744153,Lat,52.963453,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.59,1.65,1.08,1.11,,
February,,,,,,,1.56,1.27,1.95,0.52,,
March,,,,,,,1.02,1.48,1.68,2.99,,
April,,,,,,,0.93,2.11,2.46,1.97,,
May,,,,,,,1.43,2.84,1.30,1.33,,
June,,,,,,,2.86,1.78,1.02,3.75,,
July,,,,,,,0.55,1.51,3.07,3.63,,
August,,,,,,,3.98,2.09,1.94,2.50,,
September,,,,,,,0.72,0.64,1.30,1.71,,
October,,,,,,,4.63,3.49,0.68,4.67,,
November,,,,,,,3.93,2.05,1.35,1.99,,
December,,,,,,,1.63,2.96,0.81,5.70,,
Total,,,,,,,26.83,23.87,18.64,31.87,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,26.83,23.87,18.64,31.87,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
