"BUTTERMERE HASSNESS",,,,,,,,,,,,
Grid ref,NY186159,Long,-3.259404,Lat,54.531809,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,14.24,7.43,10.75,17.35,15.41,6.60,16.04,3.44,12.02,10.66,,
February,9.34,3.42,2.73,16.84,8.33,6.70,8.06,4.60,6.40,10.37,,
March,1.32,8.44,6.92,24.12,11.13,10.83,6.75,10.38,9.57,6.91,,
April,6.26,7.39,5.31,3.19,9.85,8.49,2.24,5.07,2.99,6.39,,
May,8.14,2.90,4.27,5.30,6.91,6.86,12.91,9.36,6.05,,,
June,8.15,5.03,1.88,3.11,5.28,5.82,3.63,14.99,6.86,,,
July,3.87,1.84,5.33,8.74,7.37,3.82,6.23,3.55,7.87,,,
August,10.31,9.76,5.41,14.44,10.21,8.00,11.54,8.97,13.81,5.36,,
September,10.08,8.52,5.20,11.29,6.72,7.11,3.15,1.92,12.30,,,
October,10.64,11.92,8.80,20.82,5.77,8.23,15.97,15.29,3.81,,,
November,10.34,11.77,7.15,7.27,7.20,13.43,9.59,9.24,8.64,,,
December,22.61,11.63,12.91,11.50,13.76,8.38,7.20,16.20,10.67,,,
Total,115.30,90.05,76.66,143.97,107.94,94.27,103.31,103.01,100.99,,,
Calc annual,115.30,90.05,76.66,143.97,107.94,94.27,103.31,103.01,100.99,39.69,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,NaN,,
