"MOUNTRATH BALLYFIN",,,,,,,,,,,,
Grid ref,IN3916801223,Long,-7.416453,Lat,53.060458,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,5.44,4.25,7.34,4.51,2.84,5.70,2.14,4.97,3.55,,
February,,2.16,2.51,3.91,6.38,1.98,3.61,3.25,2.89,1.53,,
March,,3.60,3.85,6.77,3.65,5.93,3.52,4.74,4.03,3.25,,
April,,3.02,3.06,3.05,3.06,2.91,2.78,4.26,2.20,6.10,,
May,,2.60,3.43,2.31,3.03,1.01,4.42,3.97,3.01,2.46,,
June,,2.82,2.57,2.40,1.74,1.70,1.98,4.76,2.05,2.58,,
July,,0.96,2.99,4.48,3.89,1.58,2.91,3.08,3.09,2.54,,
August,,4.13,3.85,6.18,4.52,6.30,3.33,4.23,3.77,1.87,,
September,,6.27,2.81,4.37,3.75,2.12,1.66,1.43,8.89,3.29,,
October,,4.06,3.39,4.92,3.07,1.38,6.70,5.22,2.20,6.04,,
November,,4.98,4.72,3.68,3.27,3.01,3.09,4.01,3.17,2.67,,
December,,5.00,3.16,3.86,3.14,2.55,4.72,4.57,4.88,5.10,,
Total,,45.04,40.59,53.27,44.01,33.31,44.42,45.66,45.15,40.98,,
Calc annual,0.00,45.04,40.59,53.27,44.01,33.31,44.42,45.66,45.15,40.98,,
Difference,NaN,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,,
