"FEARN, GEANIES MAINS",,,,,,,,,,,,
Grid ref,NH893792,Long,-3.863606,Lat,57.788715,,,,,,,
Station no,5770,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.46,1.19,0.93,,,,,,,,,
February,1.00,2.01,0.76,,,,,,,,,
March,1.43,1.25,1.37,,,,,,,,,
April,1.67,0.85,0.83,,,,,,,,,
May,1.26,1.82,2.09,,,,,,,,,
June,1.13,1.58,2.32,,,,,,,,,
July,2.97,3.19,2.71,,,,,,,,,
August,3.60,2.85,1.57,,,,,,,,,
September,2.09,1.36,1.27,,,,,,,,,
October,2.45,2.33,1.52,,,,,,,,,
November,3.17,1.86,0.37,,,,,,,,,
December,4.56,3.38,2.33,,,,,,,,,
Total,27.79,23.67,18.07,,,,,,,,,
Calc annual,27.79,23.67,18.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
