"DALBEATTIE COLVEND MANSE",,,,,,,,,,,,
Grid ref,NX863545,Long,-3.773384,Lat,54.872301,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.39,2.71,,,,,,,,,,
February,2.86,0.36,,,,,,,,,,
March,0.24,2.21,,,,,,,,,,
April,1.28,2.24,,,,,,,,,,
May,2.50,1.06,,,,,,,,,,
June,3.47,2.99,,,,,,,,,,
July,2.25,2.33,,,,,,,,,,
August,7.53,3.55,,,,,,,,,,
September,3.30,2.80,,,,,,,,,,
October,4.97,5.15,,,,,,,,,,
November,5.26,3.65,,,,,,,,,,
December,7.06,4.38,,,,,,,,,,
Total,45.11,33.43,,,,,,,,,,
Calc annual,45.11,33.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
